IDPROFESSOR;NOME;VALORHORA;CHMIN;CHMAX
953;PROFESSOR 1;140.575;1200;2400
2346;PROFESSOR 2;89.1095;1200;2400
395;PROFESSOR 3;185.4753;1200;2400
69995;PROFESSOR 4;143.061;1200;2400
1288;PROFESSOR 5;131.0353;1200;2400
1188;PROFESSOR 6;140.5544;1200;2400
728;PROFESSOR 7;139.5643;1200;2400
68173;PROFESSOR 8;128.3144;1200;2400
1154;PROFESSOR 9;139.6484;1200;2400
1300;PROFESSOR 10;116.0198;1200;2400
765;PROFESSOR 11;128.8041;1200;2400
1084;PROFESSOR 12;127.4862;1200;2400
184;PROFESSOR 13;153.0266;1200;2400
69990;PROFESSOR 14;151.1777;1200;2400
1583;PROFESSOR 15;109.7298;1200;2400
805;PROFESSOR 16;127.6607;1200;2400
69985;PROFESSOR 17;173.0131;1200;2400
1107;PROFESSOR 18;144.3816;1200;2400
1014;PROFESSOR 19;136.317;1200;2400
683;PROFESSOR 20;137.1415;1200;2400
1259;PROFESSOR 21;126.8718;1200;2400
1502;PROFESSOR 22;118.4035;1200;2400
1543;PROFESSOR 23;143.3163;1200;2400
449;PROFESSOR 24;197.1629;1200;2400
68650;PROFESSOR 25;152.3694;1200;2400
1167;PROFESSOR 26;126.2977;1200;2400
1193;PROFESSOR 27;114.5622;1200;2400
1054;PROFESSOR 28;129.3531;1200;2400
1457;PROFESSOR 29;136.7906;1200;2400
1357;PROFESSOR 30;139.9056;1200;2400
1161;PROFESSOR 31;133.7386;1200;2400
690;PROFESSOR 32;150.6803;1200;2400
743;PROFESSOR 33;145.5731;1200;2400
1540;PROFESSOR 34;114.2953;1200;2400
522;PROFESSOR 35;184.5544;1200;2400
519;PROFESSOR 36;206.9225;1200;2400
1116;PROFESSOR 37;141.4976;1200;2400
1012;PROFESSOR 38;132.1142;1200;2400
50588;PROFESSOR 39;154.9154;1200;2400
35245;PROFESSOR 40;119.4015;1200;2400
35259;PROFESSOR 41;111.5182;1200;2400
913;PROFESSOR 42;122.7676;1200;2400
13699;PROFESSOR 43;99.9973;1200;2400
46494;PROFESSOR 44;139.2264;1200;2400
46793;PROFESSOR 45;108.2791;1200;2400
48266;PROFESSOR 46;112.4442;1200;2400
50453;PROFESSOR 47;136.924;1200;2400
51797;PROFESSOR 48;115.4023;1200;2400
1223;PROFESSOR 49;111.7648;1200;2400
52945;PROFESSOR 50;109.4469;1200;2400
1617;PROFESSOR 51;109.8855;1200;2400
2048;PROFESSOR 52;116.7574;1200;2400
56939;PROFESSOR 53;95.3273;1200;2400
57290;PROFESSOR 54;114.1513;1200;2400
57381;PROFESSOR 55;108.6614;1200;2400
