IDTURMA;DESCRICAO;DIASEMANA;DIASEMANA_N;HORAINICIAL;HORAFINAL;CH_MINUTOS_SEMANA;CH_MINUTOS_MES;IDLOCAL;LOCAL;IDCURSO;TIPO;RECEITA;QTDALUNOS;RECEITA_SEMANA
20331;TURMA 1;3-5;TER-QUI;16:20;17:50;180;810.0;6;Local 6;13;INFANTIL;8509.508000;12;1891.001777
20332;TURMA 2;2-4;SEG-QUA;16:20;17:50;180;810.0;6;Local 6;13;INFANTIL;9650.546000;14;2144.565777
20333;TURMA 3;3-5;TER-QUI;16:20;17:50;180;810.0;6;Local 6;13;INFANTIL;11487.544000;15;2552.787555
20334;TURMA 4;2-4;SEG-QUA;16:20;17:50;180;810.0;6;Local 6;13;INFANTIL;9103.878000;11;2023.084000
20335;TURMA 5;3-5;TER-QUI;14:20;15:50;180;810.0;6;Local 6;13;INFANTIL;11421.654000;14;2538.145333
20336;TURMA 6;2-4;SEG-QUA;16:20;17:50;180;810.0;6;Local 6;13;INFANTIL;14092.730000;17;3131.717777
20337;TURMA 7;3-5;TER-QUI;14:20;15:50;180;810.0;6;Local 6;13;INFANTIL;6335.882000;8;1407.973777
20338;TURMA 8;2-4;SEG-QUA;16:20;17:50;180;810.0;6;Local 6;13;INFANTIL;9969.344000;12;2215.409777
20339;TURMA 9;3-5;TER-QUI;16:20;17:50;180;810.0;6;Local 6;13;INFANTIL;10926.318000;13;2428.070666
20340;TURMA 10;3-5;TER-QUI;14:20;15:50;180;810.0;6;Local 6;13;INFANTIL;8796.106000;11;1954.690222
20341;TURMA 11;3-5;TER-QUI;16:20;17:50;180;810.0;6;Local 6;13;INFANTIL;12079.334000;14;2684.296444
20342;TURMA 12;3-5;TER-QUI;19:00;20:15;150;675.0;6;Local 6;5;ADULTO;3807.796000;9;846.176888
20343;TURMA 13;3-5;TER-QUI;19:00;20:15;150;675.0;6;Local 6;5;ADULTO;2614.252000;6;580.944888
20344;TURMA 14;7;SAB;09:00;12:05;185;832.5;6;Local 6;5;ADULTO;2394.564000;9;532.125333
20345;TURMA 15;3-5;TER-QUI;09:00;10:30;180;810.0;6;Local 6;11;INFANTIL;12529.336000;17;2784.296888
20346;TURMA 16;3-5;TER-QUI;09:00;10:30;180;810.0;6;Local 6;11;INFANTIL;4480.548000;6;995.677333
20347;TURMA 17;3-5;TER-QUI;09:00;10:30;180;810.0;6;Local 6;12;INFANTIL;8922.334000;12;1982.740888
20348;TURMA 18;3-5;TER-QUI;09:00;10:30;180;810.0;6;Local 6;12;INFANTIL;7465.754000;10;1659.056444
20349;TURMA 19;2-4;SEG-QUA;14:20;15:50;180;810.0;6;Local 6;12;INFANTIL;10103.040000;13;2245.120000
20350;TURMA 20;2-4;SEG-QUA;16:20;17:50;180;810.0;6;Local 6;12;INFANTIL;5903.010000;7;1311.780000
20351;TURMA 21;3-5;TER-QUI;16:20;17:50;180;810.0;6;Local 6;12;INFANTIL;11303.884000;15;2511.974222
20352;TURMA 22;7;SAB;09:00;12:15;195;877.5;6;Local 6;12;INFANTIL;11369.366000;15;2526.525777
20353;TURMA 23;2-4;SEG-QUA;14:20;15:50;180;810.0;6;Local 6;12;INFANTIL;7790.756000;11;1731.279111
20354;TURMA 24;3-5;TER-QUI;14:20;15:50;180;810.0;6;Local 6;12;INFANTIL;11205.040000;14;2490.008888
20355;TURMA 25;3-5;TER-QUI;09:00;10:30;180;810.0;6;Local 6;12;INFANTIL;8117.530000;11;1803.895555
20356;TURMA 26;2-4;SEG-QUA;14:20;15:50;180;810.0;6;Local 6;13;INFANTIL;9841.676000;13;2187.039111
20357;TURMA 27;3-5;TER-QUI;16:20;17:50;180;810.0;6;Local 6;13;INFANTIL;13257.778000;17;2946.172888
20358;TURMA 28;3-5;TER-QUI;16:20;17:50;180;810.0;6;Local 6;13;INFANTIL;12877.390000;17;2861.642222
20359;TURMA 29;3-5;TER-QUI;14:10;15:40;180;810.0;6;Local 6;13;INFANTIL;5527.198000;8;1228.266222
20360;TURMA 30;3-5;TER-QUI;14:10;15:40;180;810.0;6;Local 6;13;INFANTIL;7122.566000;9;1582.792444
20361;TURMA 31;3-5;TER-QUI;14:10;15:40;180;810.0;6;Local 6;13;INFANTIL;4702.822000;6;1045.071555
20362;TURMA 32;3-5;TER-QUI;14:10;15:40;180;810.0;6;Local 6;13;INFANTIL;5595.886000;9;1243.530222
20363;TURMA 33;7;SAB;09:00;12:15;195;877.5;6;Local 6;13;INFANTIL;7481.104000;11;1662.467555
20364;TURMA 34;7;SAB;09:00;12:15;195;877.5;6;Local 6;13;INFANTIL;9633.900000;13;2140.866666
20365;TURMA 35;3-5;TER-QUI;18:00;19:00;120;540.0;6;Local 6;16;OUTROS;3629.992000;11;806.664888
20366;TURMA 36;7;SAB;09:00;11:15;135;607.5;6;Local 6;16;OUTROS;3970.766000;12;882.392444
20367;TURMA 37;7;SAB;10:00;12:15;135;607.5;6;Local 6;16;OUTROS;3283.250000;11;729.611111
20368;TURMA 38;7;SAB;09:00;11:15;135;607.5;6;Local 6;16;OUTROS;2881.506000;11;640.334666
20369;TURMA 39;7;SAB;09:00;11:15;135;607.5;6;Local 6;16;OUTROS;3646.924000;14;810.427555
20370;TURMA 40;7;SAB;09:00;11:45;165;742.5;6;Local 6;22;INFANTIL;6724.906000;13;1494.423555
20371;TURMA 41;7;SAB;09:00;11:45;165;742.5;6;Local 6;22;INFANTIL;6663.138000;11;1480.697333
20372;TURMA 42;7;SAB;09:00;11:45;165;742.5;6;Local 6;22;INFANTIL;5346.764000;10;1188.169777
20373;TURMA 43;7;SAB;09:00;12:15;195;877.5;6;Local 6;13;INFANTIL;11957.420000;18;2657.204444
20378;TURMA 44;2-4;SEG-QUA;14:20;15:50;180;810.0;6;Local 6;13;INFANTIL;15566.302000;19;3459.178222
20379;TURMA 45;2-4;SEG-QUA;16:20;17:50;180;810.0;6;Local 6;13;INFANTIL;15752.052000;18;3500.456000
20380;TURMA 46;7;SAB;09:00;12:05;185;832.5;6;Local 6;5;ADULTO;4069.944000;10;904.432000
20381;TURMA 47;7;SAB;09:00;12:05;185;832.5;6;Local 6;5;ADULTO;2297.380000;9;510.528888
20383;TURMA 48;7;SAB;09:00;12:15;195;877.5;6;Local 6;11;INFANTIL;4054.460000;5;900.991111
20384;TURMA 49;3-5;TER-QUI;14:20;15:50;180;810.0;6;Local 6;11;INFANTIL;7865.694000;11;1747.932000
20385;TURMA 50;2-4;SEG-QUA;16:20;17:50;180;810.0;6;Local 6;11;INFANTIL;4295.808000;6;954.624000
20386;TURMA 51;7;SAB;09:00;12:15;195;877.5;6;Local 6;11;INFANTIL;10189.960000;14;2264.435555
20387;TURMA 52;3-5;TER-QUI;09:00;10:30;180;810.0;6;Local 6;11;INFANTIL;11052.482000;15;2456.107111
20388;TURMA 53;7;SAB;09:00;12:15;195;877.5;6;Local 6;11;INFANTIL;5737.368000;7;1274.970666
20389;TURMA 54;2-4;SEG-QUA;14:20;15:50;180;810.0;6;Local 6;11;INFANTIL;10653.670000;14;2367.482222
20392;TURMA 55;2-4;SEG-QUA;16:20;17:50;180;810.0;6;Local 6;12;INFANTIL;6076.670000;9;1350.371111
20393;TURMA 56;2-4;SEG-QUA;14:20;15:50;180;810.0;6;Local 6;12;INFANTIL;9974.314000;12;2216.514222
