IDTURMA,IDPROFESSOR
20331,2048
20332,1482
20333,1583
20334,75421
20335,2048
20336,65341
20337,1291
20338,49332
20339,849
20340,49332
20341,65341
20342,1391
20343,1182
20344,849
20345,75421
20346,1084
20347,70342
20348,1291
20349,48266
20350,69242
20351,57309
20352,75453
20353,58096
20354,1291
20355,51797
20356,1291
20357,2048
20358,1294
20359,48266
20360,1347
20361,65341
20362,849
20363,57309
20364,765
20365,57309
20366,75453
20367,65341
20368,82085
20369,77145
20370,1347
20371,48266
20372,57070
20373,57455
20378,75421
20379,57070
20380,69990
20381,849
20383,1583
20384,75421
20385,1412
20386,1482
20387,1583
20388,57257
20389,1391
20392,46793
20393,69242
20394,51797
20395,765
20396,1617
20397,1084
20398,75421
20399,743
20400,49332
20401,57309
20402,2048
20403,1583
20404,46494
20405,1347
20406,57290
20407,395
20408,683
20409,68173
20410,69990
20411,57455
20412,54448
20413,2048
20414,44206
20415,1107
20416,1502
20417,69990
20418,82080
20419,57455
20421,57257
20422,70342
20423,1502
20427,78645
20428,57381
20429,449
20432,1188
20433,70342
20434,69985
20436,182
20437,449
20438,1502
20439,78645
20440,72051
20441,1014
20442,690
20443,69990
20444,44206
20445,683
20446,805
20447,522
20449,1012
20450,226
20451,52945
20452,52945
20453,50588
20454,226
20455,54448
20456,63270
20457,70342
20458,46793
20459,1585
20460,913
20461,57455
20462,52945
20463,46793
20465,69990
20466,65161
20467,58096
20468,91896
20469,44206
20471,44206
20472,69242
20473,70342
20475,44206
20476,690
20481,1543
20482,913
20484,63270
20485,54448
20486,913
20487,449
20488,44206
20489,57381
20490,67720
20491,182
20492,46494
20493,91896
20494,182
20495,1014
20496,58096
20497,57455
20499,69995
20501,78631
20503,75379
20504,58096
20505,88486
20506,1107
20507,78631
20508,63270
20509,1161
20510,70342
20511,64727
20512,52945
20513,1412
20514,1188
20515,70342
20517,69995
20518,80479
20519,913
20520,70342
20521,51797
20522,52945
20523,71117
20524,57381
20525,35259
20527,1014
20528,1288
20530,69985
20531,82080
20532,1617
20533,1412
20534,63756
20535,69985
20536,59008
20537,690
20538,69990
20539,1288
20540,690
20541,1585
20542,71117
20543,1014
20544,91896
20545,743
20546,48922
20547,54448
20549,80479
20550,1012
20552,1585
20553,68173
20554,46494
20555,1457
20556,1012
20557,83288
20558,61726
20559,1457
20560,57070
20561,57639
20563,63756
20564,1107
20565,1107
20567,61726
20569,35245
20570,1617
20571,91896
20572,75958
20573,449
20574,44206
20575,1617
