IDTURMA,IDPROFESSOR
20639,57639
20640,1391
20641,52945
20642,52945
20643,1391
20645,58096
20646,62344
20647,1391
20648,686
20650,58096
20651,52945
20652,1193
20653,1391
20654,58096
20693,62344
20698,85669
20717,57639
20725,57639
20759,62344
20790,1193
20806,52945
20820,85669
20850,72039
20859,63882
20860,82070
20861,82070
20862,63882
20863,63882
20877,63882
20884,63882
20888,65877
20892,83288
20902,83288
20909,65877
20917,63882
20919,87001
20922,82070
20935,72039
20941,84328
20948,57972
20950,87001
20959,72039
20964,72039
20970,83288
20982,87001
20985,72039
20993,87001
20997,72039
20998,82070
20999,65877
21000,63882
21003,65877
21005,83288
21009,65877
21011,82070
21012,87001
21014,83288
21077,57639
21331,57972
21345,83288
21465,82070
