IDTURMA,IDPROFESSOR
20331,1482
20332,1347
20333,1084
20334,765
20335,75421
20336,48266
20337,57455
20338,70342
20339,184
20340,1294
20341,57070
20342,75453
20343,849
20344,1182
20345,1391
20346,686
20347,58096
20348,46793
20349,57257
20350,51797
20351,1347
20352,1489
20353,75421
20354,63099
20355,69990
20356,184
20357,65341
20358,48266
20359,1084
20360,1482
20361,49332
20362,1583
20363,49332
20364,765
20365,77145
20366,75453
20367,57309
20368,1617
20369,1391
20370,57070
20371,70373
20372,1347
20373,1412
20378,2048
20379,1617
20380,686
20381,2048
20383,69990
20384,1412
20385,1412
20386,13699
20387,1412
20388,1084
20389,1412
20392,75453
20393,51797
20394,849
20395,57070
20396,70342
20397,57070
20398,1291
20399,57455
20400,49332
20401,69990
20402,1294
20403,65341
20404,395
20405,1502
20406,743
20407,57381
20408,1107
20409,69990
20410,1107
20411,690
20412,54448
20413,82085
20414,82080
20415,57290
20416,67720
20417,57455
20418,69990
20419,1585
20421,82085
20422,58096
20423,1502
20427,46494
20428,1543
20429,57381
20432,1107
20433,78645
20434,728
20436,59008
20437,69990
20438,1543
20439,1014
20440,743
20441,48922
20442,59008
20443,182
20444,13828
20445,72051
20446,73383
20447,1585
20449,70342
20450,46793
20451,1012
20452,35245
20453,75379
20454,913
20455,52945
20456,63756
20457,63270
20458,913
20459,35245
20460,1161
20461,54448
20462,1188
20463,1583
20465,57309
20466,65161
20467,1617
20468,69990
20469,182
20471,72051
20472,683
20473,182
20475,805
20476,68173
20481,1288
20482,75379
20484,75379
20485,226
20486,54448
20487,57455
20488,35259
20489,1188
20490,1617
20491,82080
20492,46494
20493,1585
20494,57381
20495,73383
20496,75453
20497,226
20499,46494
20501,1347
20503,1288
20504,765
20505,1288
20506,1161
20507,71117
20508,35245
20509,70342
20510,52945
20511,64727
20512,913
20513,70342
20514,57309
20515,70342
20517,913
20518,80479
20519,52945
20520,50588
20521,1161
20522,1012
20523,57381
20524,1107
20525,70342
20527,519
20528,1014
20530,78645
20531,71117
20532,68173
20533,1412
20534,51797
20535,44206
20536,71117
20537,69985
