IDTURMA,IDPROFESSOR
20331,65341
20332,1347
20333,1294
20334,58096
20335,65341
20336,184
20337,1182
20338,849
20339,49332
20340,1291
20341,1084
20342,2048
20343,57070
20344,2048
20345,1391
20346,70373
20347,69990
20348,75421
20349,58096
20350,75453
20351,51797
20352,58096
20353,48266
20354,51797
20355,1347
20356,1489
20357,82085
20358,2048
20359,46793
20360,75421
20361,57455
20362,57257
20363,1489
20364,1583
20365,77145
20366,70171
20367,75453
20368,90927
20369,82085
20370,48266
20371,57070
20372,70342
20373,1291
20378,75421
20379,57309
20380,1391
20381,69990
20383,1482
20384,63099
20385,1291
20386,686
20387,70342
20388,1412
20389,70342
20392,1182
20393,69990
20394,57309
20395,2048
20396,449
20397,1489
20398,75421
20399,449
20400,49332
20401,57257
20402,2048
20403,1412
20404,395
20405,46494
20406,728
20407,1585
20408,1014
20409,57455
20410,35259
20411,519
20412,1161
20413,82085
20414,690
20415,46494
20416,805
20417,449
20418,1288
20419,57290
20421,1412
20422,1182
20423,57381
20427,68173
20428,1347
20429,69990
20432,48922
20433,46494
20434,72051
20436,805
20437,1543
20438,57381
20439,69242
20440,73383
20441,69990
20442,69242
20443,91896
20444,73383
20445,78645
20446,70342
20447,1502
20449,35245
20450,70342
20451,57455
20452,1585
20453,913
20454,1012
20455,54448
20456,63756
20457,46793
20458,913
20459,63270
20460,63756
20461,913
20462,2048
20463,1412
20465,75421
20466,51797
20467,46793
20468,71117
20469,1259
20471,59008
20472,1347
20473,71117
20475,46494
20476,683
20481,1107
20482,1012
20484,80479
20485,46793
20486,913
20487,35259
20488,449
20489,70342
20490,1014
20491,59008
20492,683
20493,78645
20494,72051
20495,69242
20496,70342
20497,226
20499,85710
20501,88486
20503,1457
20504,1107
20505,71117
20506,85669
20507,849
20508,54448
20509,1012
20510,54448
20511,85646
20512,52945
20513,1291
20514,57639
20515,54448
20517,75379
20518,50588
20519,913
20520,50588
20521,1012
20522,1161
20523,67720
20524,70342
20525,57381
20527,1107
20528,1617
20530,82080
20531,73383
20532,69990
20533,1391
20534,63756
20535,68173
20536,91896
20537,48922
20538,48922
20539,743
20540,35259
20541,690
20542,44206
20543,690
20544,75958
20545,68173
20546,1617
20547,1167
20549,63270
20550,35245
20552,57290
20553,57381
20554,1543
20555,1116
20556,69990
20557,1502
20558,57639
20559,1357
20560,78631
20561,57639
20563,62344
20564,1399
20565,75453
20567,190
20569,63270
20570,728
20571,449
20572,75958
20573,59008
20574,71117
20575,1617
20576,1585
20577,75958
20578,67720
20579,449
20580,67720
20581,44206
20582,1288
20583,449
20584,69985
20585,1399
20587,63270
20588,85646
20589,63270
20590,68173
20591,690
20592,35259
20593,46494
20594,73383
20595,1188
20596,522
20597,1014
20599,51797
20600,78631
20601,1012
20602,226
20605,35245
20606,64727
20607,66626
20608,70500
20609,1161
20610,13699
20611,1107
20612,1054
20613,849
20614,849
20615,1116
20616,1457
20617,69995
20618,65877
20619,953
20620,226
20621,765
20622,849
20624,1288
20625,1167
20626,69995
20628,1054
20630,63756
20631,1188
20633,71117
20634,1502
20635,1084
20636,52945
20637,13699
20638,1223
20639,52945
20640,686
20641,686
20642,52945
20643,85669
20645,1391
20646,953
20647,57639
20648,1193
20650,58096
20651,1193
20652,1193
20653,85669
20654,62344
20655,63099
20656,1347
20659,66626
20661,70342
20662,69242
20663,64727
20669,1585
20670,35259
20671,57639
20672,78631
20673,73235
20675,78631
20676,73235
20677,61726
20678,65877
20680,683
20681,690
20684,1585
20688,1259
20689,50588
20690,50588
20692,57309
20693,62344
20694,1585
20695,58096
20696,54448
20697,51797
20698,1167
20699,913
20700,1173
20701,1173
20702,1113
20703,75379
20704,1173
20705,1173
20706,184
20707,69995
20708,57972
20709,1161
20710,1161
20711,57381
20712,52945
20713,849
20714,52945
20715,690
20716,913
20717,58543
20719,35245
20720,51797
20721,70342
20722,72051
20723,48266
20724,80479
20725,62344
20726,0
20727,44206
20729,1583
20730,57070
20731,57290
20732,1357
20734,82080
20735,57309
20736,46494
20737,67720
20739,65877
20740,519
20741,65877
20742,1399
20743,75453
20744,35245
20746,1012
20747,54448
20748,62344
20749,1012
20750,1116
20751,75379
20752,1116
20754,69990
20757,1012
20758,50588
20759,57639
20761,1617
20762,1347
20763,70373
20764,70373
20765,1084
20766,686
20768,0
20769,1107
20770,77145
20773,44206
20774,1300
20775,686
20777,1391
20778,91053
20779,48266
20781,1399
20782,57639
20784,1188
20785,728
20786,57309
20789,82080
20790,1540
20791,82085
20792,49332
20793,395
20794,57070
20795,522
20796,58543
20797,1482
20798,70373
20799,1084
20800,75421
20802,69242
20803,85710
20804,226
20805,1482
20806,686
20807,59008
20808,82067
20809,57455
20810,686
20811,48266
20813,1347
20814,765
20815,82067
20816,1291
20817,82067
20818,78631
20819,68173
20820,57639
20821,1502
20822,1167
20823,57455
20824,78631
20825,1540
20826,1154
20827,85687
20828,70500
20829,1188
20831,1391
20832,1107
20833,1489
20834,57290
20835,75379
20836,765
20837,70373
20838,57070
20840,1182
20841,765
20842,1161
20843,1543
20844,69990
20845,1399
20846,69995
20850,72039
20852,70171
20853,1288
20854,69242
20856,46793
20858,70373
20859,82070
20860,63882
20861,63882
20862,82070
20863,82070
20864,395
20872,953
20873,184
20874,0
20875,91053
20876,78645
20877,65877
20881,59008
20883,67720
20884,63882
20885,75379
20886,75379
20887,69990
20888,83288
20889,690
20890,57639
20891,64727
20892,72039
20894,686
20895,44206
20897,1182
20900,1457
20901,91053
20902,82070
20904,85700
20905,522
20906,65877
20907,65161
20909,65877
20910,73383
20911,686
20913,1502
20916,71117
20917,82070
20918,743
20919,72039
20921,728
20922,87001
20923,68173
20925,1294
20926,63099
20928,85700
20929,64727
20930,61726
20931,65161
20932,63099
20933,72051
20934,1193
20935,82070
20936,1193
20937,146
20938,1193
20939,57381
20940,70500
20941,63882
20942,59008
20943,73383
20944,75379
20948,83288
20949,54448
20950,87001
20951,57309
20953,67720
20954,91896
20955,1107
20956,1288
20958,91053
20959,83288
20960,63756
20961,1502
20962,65161
20963,64790
20964,72039
20965,67720
20966,146
20967,1116
20968,75453
20969,1300
20970,87001
20971,63099
20973,1116
20974,69995
20975,1543
20977,57070
20978,63756
20979,63099
20980,63756
20981,146
20982,83288
20983,1054
20985,87001
20986,1223
20987,0
20988,63756
20990,57972
20992,1154
20993,83288
20995,85710
20997,72039
20998,82070
20999,65877
21000,63882
21001,1347
21002,78631
21003,65877
21005,83288
21006,85646
21007,1288
21008,1116
21009,57972
21011,72039
21012,82070
21013,57639
21014,72039
21015,72051
21016,70500
21017,59008
21018,85700
21019,65941
21020,690
21021,1399
21022,78631
21023,1457
21028,85700
21030,86055
21032,1300
21033,63270
21034,85710
21035,1543
21036,69985
21037,1154
21038,75379
21039,1457
21041,65161
21043,57417
21045,70500
21047,86055
21050,1116
21053,0
21055,82080
21056,1502
21057,449
21058,1012
21059,519
21060,519
21061,78645
21062,57290
21063,1188
21064,1259
21065,78645
21066,48922
21067,68173
21068,48922
21069,69990
21070,71117
21072,1543
21073,1182
21074,35259
21075,44206
21077,1540
21084,1617
21085,87984
21086,80140
21087,86213
21091,57070
21092,1167
21093,2048
21096,2076
21097,2114
21098,65941
21099,2114
21100,89226
21101,74355
21102,2076
21103,1116
21104,85700
21105,2346
21106,2114
21107,61726
21108,80140
21109,88653
21110,80140
21112,75453
21113,74355
21115,88653
21116,56939
21117,88653
21118,1113
21119,53429
21120,90998
21121,57649
21123,53429
21124,90998
21125,2346
21126,2114
21127,2346
21128,57649
21129,74355
21130,57649
21132,74355
21133,87984
21134,57649
21135,89226
21136,53429
21138,74355
21139,2346
21140,2114
21141,56939
21142,2346
21143,53429
21144,2114
21145,53429
21146,89226
21147,56939
21148,2346
21149,2076
21150,86213
21151,80140
21153,74355
21154,1223
21155,86157
21156,56939
21157,146
21159,2076
21163,0
21164,86213
21165,86213
21166,56939
21167,80140
21168,86213
21170,88653
21171,2076
21172,88653
21173,87984
21174,90998
21175,1223
21176,86213
21177,87984
21178,86213
21179,86213
21180,90998
21181,2114
21182,53429
21184,87984
21185,86157
21186,86157
21187,0
21188,57417
21189,0
21190,1288
21191,184
21192,58543
21193,1193
21194,0
21195,1399
21196,69242
21197,74355
21198,53429
21199,2076
21203,86213
21205,57649
21206,90998
21208,90998
21209,89226
21223,57290
21226,44206
21227,690
21228,68173
21229,449
21230,449
21231,519
21232,57381
21233,69985
21234,683
21235,57381
21236,68173
21237,1288
21238,1107
21239,46494
21240,1617
21241,395
21244,1161
21249,80479
21262,849
21265,686
21271,65161
21279,67720
21280,1391
21288,72051
21290,63756
21298,85646
21303,51797
21304,35259
21305,1167
21306,1294
21307,57417
21308,1540
21311,46494
21312,1294
21313,1540
21314,85669
21315,728
21316,1054
21317,765
21318,64790
21319,765
21322,78645
21324,519
21325,519
21326,35259
21327,395
21328,728
21329,550
21331,65877
21333,57455
21334,226
21335,1113
21336,1357
21338,1167
21339,1107
21340,1457
21341,57455
21344,57290
21345,72039
21346,75379
21348,63099
21349,0
21351,1014
21354,13828
21356,90927
21357,64727
21358,35245
21363,75421
21366,58543
21369,85669
21370,765
21378,57381
21384,72051
21398,395
21445,53429
21446,190
21447,1347
21448,71117
21450,1188
21454,48922
21455,46494
21460,0
21462,57381
21463,75379
21465,82070
21468,190
21470,1107
21474,44206
21475,85710
21477,743
21478,1391
21479,1054
21480,13828
21481,1161
21482,83288
21483,0
21484,69995
21487,51797
21488,51797
21489,65941
21490,690
21491,1113
21492,1182
21493,342
21494,50453
