geracao,fitness_medio,fitness_melhor,fitness_pior,diversidade
0,284945.8694669058,294424.25554500043,272766.51923600025,358.49885057471266
1,285766.3386332446,294424.25554500043,279908.97865166666,356.8873563218391
2,286027.2083152113,294424.25554500043,280819.25549033383,355.92873563218393
3,286727.34801955573,294424.25554500043,281294.22946900065,353.6160919540229
4,287460.9366649113,294424.25554500043,281515.6115730002,351.1310344827586
5,288213.96345925576,294424.25554500043,282826.59234000003,346.8137931034483
6,288786.0302155224,294424.25554500043,283064.904102334,340.0919540229885
7,289460.18950195576,294424.25554500043,283346.3232610002,330.4505747126437
8,289852.05971987796,294424.25554500043,283474.14722666726,323.7494252873563
9,290441.1721400668,294424.25554500043,284107.9153206667,315.42528735632186
10,290552.3269944557,294424.25554500043,284223.8078690005,311.66896551724136
11,291150.8731822669,294424.25554500043,285263.9064196665,299.5287356321839
12,291671.7762112002,294424.25554500043,286144.4731626664,284.9264367816092
13,291671.7762112002,294424.25554500043,286144.4731626664,284.9264367816092
14,292053.78236528917,297572.04118266725,286861.9663700004,275.2344827586207
15,292350.7116545447,297572.04118266725,287696.69766133325,266.9402298850575
16,292704.72001256695,297572.04118266725,289481.14821166685,246.90574712643678
17,292922.02103457804,297572.04118266725,290311.41681133356,250.5448275862069
18,293053.1441754225,297572.04118266725,291332.04795533355,237.98620689655172
19,293261.0893077114,297572.04118266725,291616.6787056667,230.10114942528736
20,293510.61876596697,298593.4791616675,291787.1435343335,220.88505747126436
21,293724.2763673003,298593.4791616675,291826.6632446668,212.8735632183908
22,293724.2763673003,298593.4791616675,291826.6632446668,212.8735632183908
23,293919.0118200892,298593.4791616675,292020.6704866671,198.37241379310345
24,293999.13132203365,298593.4791616675,292020.6704866671,197.70574712643676
25,294285.12419356697,298593.4791616675,292020.6704866671,197.0206896551724
26,294460.84597237804,298593.4791616675,292020.6704866671,197.72183908045977
27,294460.84597237804,298593.4791616675,292020.6704866671,197.72183908045977
28,294820.4925761225,298593.4791616675,292195.7737589997,199.21149425287356
29,295033.74942287814,298593.4791616675,292274.2756676666,188.83448275862068
30,295266.81098678923,298593.4791616675,292858.5557279998,161.15862068965518
31,295349.5302063782,298593.4791616675,292969.6734660004,163.3816091954023
32,295464.68433183373,298593.4791616675,293019.1364206668,142.83218390804598
33,295571.60156907816,298593.4791616675,293401.97098033346,134.91034482758621
34,295730.4985781782,298593.4791616675,293401.97098033346,127.816091954023
35,295997.1433029116,298964.72396166745,294424.25554500043,125.23908045977012
36,296256.1160244449,299432.03564100055,294424.25554500043,130.6735632183908
37,296715.68187903386,307019.7628243339,294424.25554500043,135.82758620689654
38,296904.96264854487,307019.7628243339,294424.25554500043,139.12873563218392
39,297119.6104682783,307019.7628243339,294424.25554500043,141.31954022988506
40,297479.4246602894,307019.7628243339,294751.04884500033,146.06896551724137
41,298026.4881112005,307019.7628243339,294821.534413667,142.1494252873563
42,298279.02464898943,307019.7628243339,295019.17810533365,137.8873563218391
43,298331.2517359561,307019.7628243339,295019.17810533365,139.20689655172413
44,298817.3094822894,307019.7628243339,296000.17887200037,137.44597701149425
45,299170.2857508117,307019.7628243339,296707.4007343336,131.9977011494253
46,299242.1096870673,307019.7628243339,296860.8443056672,133.15632183908045
47,299457.92663761164,307019.7628243339,297003.2046970004,131.2942528735632
48,299582.47673976724,307019.7628243339,297094.8488303337,127.00459770114942
49,299629.33094767836,307019.7628243339,297185.65709500073,123.31494252873563
50,299779.4757414339,307019.7628243339,297292.32385100017,123.9448275862069
51,300001.6586194339,307019.7628243339,297401.2544343335,120.4367816091954
52,300201.2491286228,307019.7628243339,297429.28323433344,117.94942528735632
53,300637.99185584503,307019.7628243339,297960.19124933385,111.82758620689656
54,300637.99185584503,307019.7628243339,297960.19124933385,111.82758620689656
55,301033.205982234,307019.7628243339,298196.87157433387,107.70574712643678
56,301597.1631452895,307019.7628243339,298196.87157433387,99.33793103448276
57,302167.5203334895,307019.7628243339,298358.4887116676,92.06436781609196
58,302544.2754218895,307829.04113266733,298593.4791616675,89.4367816091954
59,302942.2158977339,307829.04113266733,298593.4791616675,86.38850574712643
60,303518.5692588562,307829.04113266733,298964.72396166745,79.17701149425288
61,303900.9863380339,307829.04113266733,299432.03564100055,74.54022988505747
62,304413.5677344228,307829.04113266733,300311.254392667,69.11264367816092
63,304891.78711103386,307829.04113266733,300405.2733576673,63.35402298850575
64,305308.93081625615,307829.04113266733,301336.19599700044,57.66436781609195
65,305308.93081625615,307829.04113266733,301336.19599700044,57.66436781609195
66,305308.93081625615,307829.04113266733,301336.19599700044,57.66436781609195
67,305688.32830266724,307829.04113266733,301690.00090766716,48.02758620689655
68,306076.32827516727,307829.04113266733,301720.791399334,41.9816091954023
69,306459.88983127836,308210.2725160006,301853.5289826673,32.94712643678161
70,306838.0142818339,308210.2725160006,301853.52898266737,21.547126436781614
71,307205.2493668339,308210.2725160006,306292.69521600055,12.117241379310345
72,307271.11253655615,308210.2725160006,306580.21364933386,11.547126436781609
73,307334.12467600056,308210.2725160006,306732.2443910006,11.698850574712644
74,307415.3304996117,308210.2725160006,307019.7628243339,11.510344827586207
75,307449.03936072276,308210.2725160006,307019.7628243339,11.802298850574713
76,307449.03936072276,308210.2725160006,307019.7628243339,11.802298850574713
77,307482.7482218339,308210.2725160006,307019.7628243339,11.983908045977012
78,307549.4078218339,308210.2725160006,307019.7628243339,11.967816091954022
79,307616.0674218339,308210.2725160006,307019.7628243339,11.671264367816091
80,307675.9941043339,308210.2725160006,307221.7503493338,11.068965517241379
81,307729.1878693339,308210.2725160006,307221.7503493338,10.119540229885057
82,307782.381634334,308210.2725160006,307221.7503493338,8.83448275862069
83,307835.57539933396,308210.2725160006,307221.7503493338,7.213793103448276
84,307888.769164334,308210.2725160006,307221.7503493338,5.257471264367816
85,307941.96292933397,308210.2725160006,307404.381199334,2.9655172413793105
86,307968.82597322285,308210.2725160006,307829.04113266733,2.4022988505747125
87,307981.5336860007,308210.2725160006,307829.04113266733,2.4827586206896552
88,307994.24139877845,308210.2725160006,307829.04113266733,2.5402298850574714
89,308006.9491115562,308210.2725160006,307829.04113266733,2.574712643678161
90,308019.65682433394,308210.2725160006,307829.04113266733,2.586206896551724
91,308029.1490037784,308210.2725160006,307829.04113266733,2.574712643678161
92,308029.1490037784,308210.2725160006,307829.04113266733,2.574712643678161
93,308041.8567165562,308210.2725160006,307829.04113266733,2.5402298850574714
94,308054.564429334,308210.2725160006,307829.04113266733,2.4827586206896552
95,308070.1001115562,308210.2725160006,307829.04113266733,2.3609195402298853
96,308089.472034334,308210.2725160006,307829.04113266733,2.172413793103449
97,308089.472034334,308210.2725160006,307829.04113266733,2.172413793103449
98,308105.0077165562,308210.2725160006,307829.04113266733,1.9540229885057472
99,308124.379639334,308210.2725160006,307829.04113266733,1.6551724137931034
