IDTURMA,IDPROFESSOR
20396,1288
20399,728
20404,1502
20405,1543
20406,67720
20407,1259
20408,1585
20409,519
20410,1014
20411,57381
20412,57455
20414,1014
20415,683
20416,82080
20417,71117
20418,728
20419,69990
20423,1585
20427,1502
20428,1347
20429,48922
20432,48922
20433,57290
20434,57290
20436,1585
20437,1014
20438,68173
20439,44206
20440,69990
20441,72051
20442,1014
20443,44206
20444,1107
20445,70342
20446,690
20447,70342
20449,80479
20450,35245
20451,70342
20452,35245
20453,69995
20454,75379
20455,913
20456,35245
20457,1161
20458,65161
20459,1585
20460,46793
20461,913
20466,1161
20468,72051
20469,743
20471,690
20472,1188
20473,1259
20475,1347
20476,69990
20481,1288
20482,1161
20484,85646
20485,50588
20486,70342
20487,690
20488,449
20489,1188
20490,395
20491,71117
20492,82080
20493,1585
20494,805
20495,69985
20497,1012
20508,913
20509,54448
20510,52945
20511,64727
20512,52945
20515,70342
20517,70342
20518,913
20519,63756
20520,54448
20521,46793
20522,75379
20523,1347
20524,395
20525,57290
20527,1288
20528,1502
20530,78645
20531,59008
20532,35259
20534,63270
20535,743
20536,728
20537,67720
20538,67720
20539,1288
20540,690
20541,71117
20542,75958
20543,68173
20544,449
20545,44206
20546,48922
20549,70342
20550,63270
20552,1543
20553,1617
20554,1107
20569,46793
20570,69990
20571,728
20572,449
20573,59008
20574,743
20575,75958
20576,59008
20577,75958
20578,449
20579,71117
20580,1347
20581,728
20582,69985
20583,1288
20584,1617
20587,70342
20588,80479
20589,35245
20590,1188
20591,1347
20592,1543
20593,743
20594,46494
20595,69242
20596,70342
20597,805
20599,63756
20601,1161
20602,35245
20605,35245
20606,52945
20607,52945
20609,64727
20630,63756
20631,805
20633,73383
20634,44206
20636,1173
20639,953
20640,58096
20641,1391
20642,57639
20643,953
20645,1193
20646,62344
20647,62344
20648,57639
20650,85669
20651,57639
20652,1391
20653,62344
20654,1193
20659,63756
20661,75379
20663,1173
20669,71117
20680,690
20681,1288
20684,1188
20688,68173
20689,1161
20690,64727
20693,62344
20694,70342
20696,64727
20698,57639
20699,54448
20700,913
20701,1161
20703,50588
20704,69995
20705,1585
20707,1173
20709,1161
20710,1161
20711,728
20712,52945
20714,52945
20715,690
20716,1012
20717,58543
20719,35245
20721,70342
20722,743
20724,46793
20725,78631
20726,80479
20731,743
20734,728
20736,743
20737,69985
20740,1543
20754,68173
20757,1012
20758,70342
20759,1391
20769,449
20789,449
20790,58543
20795,1347
20802,57381
20806,1391
20807,683
20819,1107
20820,58096
20823,46494
20829,1585
20850,83288
20854,91896
20859,82070
20860,82070
20861,63882
20862,63882
20863,82070
20876,1259
20877,83288
20884,82070
20888,65877
20889,1188
20892,82070
20902,82070
20905,91896
20909,65877
20910,69985
20913,46494
20917,72039
20918,73383
20919,87001
20922,72039
20923,683
20933,805
20935,72039
20939,35259
20941,72039
20943,743
20948,63882
20950,63882
20954,48922
20959,87001
20964,83288
20970,65877
20982,87001
20985,72039
20993,57972
20997,57972
20998,63882
20999,87001
21000,82070
21003,87001
21005,72039
21009,63882
21011,84328
21012,72039
21014,83288
21020,70342
21036,1617
21055,82080
21056,57381
21057,449
21059,519
21060,1107
21061,57381
21062,48922
21063,1259
21064,1502
21065,683
21066,1014
21067,1188
21068,805
21069,690
21070,1543
21072,57290
21074,59008
21075,78645
21077,57639
21084,35259
21085,2076
21086,80140
21087,2346
21096,2114
21097,2346
21099,87984
21100,2114
21101,57649
21102,2114
21105,56939
21106,88653
21108,88653
21109,74355
21110,80140
21113,57649
21115,89226
21116,56939
21117,2076
21119,53429
21120,88653
21121,88653
21123,88653
21124,2346
21125,2114
21126,2114
21127,80140
21128,2114
21129,74355
21130,53429
21132,74355
21133,90998
21134,2114
21135,80140
21136,53429
21138,74355
21139,89226
21140,2114
21141,56939
21142,89226
21143,57649
21144,0
21145,80140
21146,89226
21147,74355
21148,80140
21149,2076
21150,80140
21151,87984
21153,74355
21155,86157
21156,86213
21159,80140
21164,86213
21165,80140
21166,86213
21167,86213
21168,88653
21170,88653
21171,53429
21172,57649
21173,56939
21174,2076
21176,2114
21177,56939
21178,2346
21179,86213
21180,2346
21181,2346
21182,86157
21184,87984
21185,0
21186,2076
21187,0
21197,57649
21198,2114
21199,56939
21203,88653
21205,74355
21206,86213
21208,90998
21209,89226
21223,57381
21226,1107
21227,1288
21228,72051
21229,395
21230,1347
21231,519
21232,1259
21233,59008
21234,683
21235,683
21236,46494
21237,57290
21238,1107
21239,72051
21240,57381
21241,71117
21244,1161
21249,913
21322,683
21324,78626
21325,519
21326,46494
21327,57455
21328,78626
21329,1502
21331,57972
21333,51797
21334,63756
21345,65877
21351,44206
21354,13828
21357,64727
21378,78645
21384,68173
21398,57455
21445,57649
21448,1014
21450,78645
21454,57381
21455,1014
21462,57381
21465,0
21477,59008
21480,395
21488,63270
21490,1259
