IDTURMA,IDPROFESSOR
20639,62344
20640,58096
20641,85669
20642,85669
20643,1391
20645,1193
20646,1193
20647,58096
20648,953
20650,62344
20651,1193
20652,52945
20653,52945
20654,953
20693,85669
20698,1167
20717,62344
20725,52945
20759,85669
20790,58096
20806,1391
20820,62344
20850,65877
20859,82070
20860,82070
20861,63882
20862,63882
20863,82070
20877,83288
20884,63882
20888,63882
20892,82070
20902,83288
20909,65877
20917,87001
20919,63882
20922,82070
20935,63882
20941,63882
20948,83288
20950,87001
20959,57972
20964,72039
20970,83288
20982,72039
20985,87001
20993,57972
20997,83288
20998,63882
20999,57972
21000,82070
21003,65877
21005,65877
21009,83288
21011,87001
21012,82070
21014,72039
21077,57639
21331,87001
21345,72039
21465,82070
