IDTURMA,IDPROFESSOR
20639,62344
20640,58096
20641,686
20642,686
20643,52945
20645,52945
20646,58096
20647,953
20648,58096
20650,1193
20651,686
20652,57639
20653,1391
20654,686
20693,78631
20698,52945
20717,78631
20725,52945
20759,1391
20790,58543
20806,58543
20820,58096
20850,83288
20859,82070
20860,63882
20861,63882
20862,82070
20863,63882
20877,83288
20884,83288
20888,63882
20892,83288
20902,72039
20909,65877
20917,87001
20919,82070
20922,63882
20935,87001
20941,87001
20948,57972
20950,72039
20959,57972
20964,87001
20970,65877
20982,72039
20985,72039
20993,57972
20997,83288
20998,82070
20999,57972
21000,63882
21003,57972
21005,83288
21009,82070
21011,72039
21012,87001
21014,65877
21077,58096
21331,72039
21345,82070
21465,0
