arquivo,tipo,min,media,desvio,max
resultado_final_melhor_full_teste_1.csv,resultado_liquido_turma,-494.6,937.2,794.23,3227.48
resultado_final_melhor_full_teste_1.csv,carga_horaria_professor,120.0,951.87,454.9,2275.0
resultado_final_melhor_full_teste_1.csv,quantidade_turmas_professor,1.0,5.46,2.62,15.0
resultado_final_pior_full_teste_1.csv,resultado_liquido_turma,-494.6,936.54,795.72,3183.65
resultado_final_pior_full_teste_1.csv,carga_horaria_professor,135.0,938.96,435.33,2020.0
resultado_final_pior_full_teste_1.csv,quantidade_turmas_professor,1.0,5.39,2.53,12.0
resultado_final_melhor_full_teste_2.csv,resultado_liquido_turma,-480.96,940.17,796.21,3170.8
resultado_final_melhor_full_teste_2.csv,carga_horaria_professor,120.0,934.57,419.89,1860.0
resultado_final_melhor_full_teste_2.csv,quantidade_turmas_professor,1.0,5.35,2.37,10.0
resultado_final_pior_full_teste_2.csv,resultado_liquido_turma,-480.96,940.94,798.04,3170.8
resultado_final_pior_full_teste_2.csv,carga_horaria_professor,120.0,930.27,436.46,2040.0
resultado_final_pior_full_teste_2.csv,quantidade_turmas_professor,1.0,5.33,2.49,11.0
resultado_final_melhor_full_teste_3.csv,resultado_liquido_turma,-492.15,938.84,795.97,3183.65
resultado_final_melhor_full_teste_3.csv,carga_horaria_professor,120.0,957.43,459.87,2240.0
resultado_final_melhor_full_teste_3.csv,quantidade_turmas_professor,1.0,5.49,2.68,13.0
resultado_final_pior_full_teste_3.csv,resultado_liquido_turma,-492.15,934.67,800.87,3183.65
resultado_final_pior_full_teste_3.csv,carga_horaria_professor,135.0,942.18,455.51,2330.0
resultado_final_pior_full_teste_3.csv,quantidade_turmas_professor,1.0,5.4,2.68,14.0
resultado_final_melhor_full_teste_4.csv,resultado_liquido_turma,-551.79,937.08,794.01,3186.2
resultado_final_melhor_full_teste_4.csv,carga_horaria_professor,120.0,949.43,448.44,2195.0
resultado_final_melhor_full_teste_4.csv,quantidade_turmas_professor,1.0,5.44,2.57,13.0
resultado_final_pior_full_teste_4.csv,resultado_liquido_turma,-551.79,937.46,792.96,3273.41
resultado_final_pior_full_teste_4.csv,carga_horaria_professor,120.0,941.58,454.35,2255.0
resultado_final_pior_full_teste_4.csv,quantidade_turmas_professor,1.0,5.39,2.57,14.0
resultado_final_melhor_medio_teste_1.csv,resultado_liquido_turma,-494.6,895.15,715.24,2882.99
resultado_final_melhor_medio_teste_1.csv,carga_horaria_professor,150.0,831.12,408.88,2370.0
resultado_final_melhor_medio_teste_1.csv,quantidade_turmas_professor,1.0,4.63,2.23,13.0
resultado_final_pior_medio_teste_1.csv,resultado_liquido_turma,-525.77,894.87,715.84,2958.69
resultado_final_pior_medio_teste_1.csv,carga_horaria_professor,150.0,819.89,423.74,2355.0
resultado_final_pior_medio_teste_1.csv,quantidade_turmas_professor,1.0,4.57,2.32,13.0
resultado_final_melhor_medio_teste_2.csv,resultado_liquido_turma,-525.77,893.17,719.68,2930.99
resultado_final_melhor_medio_teste_2.csv,carga_horaria_professor,180.0,847.7,353.58,1775.0
resultado_final_melhor_medio_teste_2.csv,quantidade_turmas_professor,1.0,4.71,1.95,9.0
resultado_final_pior_medio_teste_2.csv,resultado_liquido_turma,-525.77,896.05,718.95,2916.16
resultado_final_pior_medio_teste_2.csv,carga_horaria_professor,180.0,827.53,375.03,1960.0
resultado_final_pior_medio_teste_2.csv,quantidade_turmas_professor,1.0,4.6,2.09,10.0
resultado_final_melhor_medio_teste_3.csv,resultado_liquido_turma,-525.77,891.47,716.07,2932.63
resultado_final_melhor_medio_teste_3.csv,carga_horaria_professor,120.0,822.11,415.26,2240.0
resultado_final_melhor_medio_teste_3.csv,quantidade_turmas_professor,1.0,4.58,2.31,13.0
resultado_final_pior_medio_teste_3.csv,resultado_liquido_turma,-525.77,890.67,717.1,2932.63
resultado_final_pior_medio_teste_3.csv,carga_horaria_professor,120.0,813.08,422.86,2090.0
resultado_final_pior_medio_teste_3.csv,quantidade_turmas_professor,1.0,4.53,2.35,12.0
resultado_final_melhor_medio_teste_4.csv,resultado_liquido_turma,-551.79,892.21,721.95,2958.69
resultado_final_melhor_medio_teste_4.csv,carga_horaria_professor,180.0,829.78,361.36,1790.0
resultado_final_melhor_medio_teste_4.csv,quantidade_turmas_professor,1.0,4.62,2.06,10.0
resultado_final_pior_medio_teste_4.csv,resultado_liquido_turma,-551.79,895.75,723.39,2958.69
resultado_final_pior_medio_teste_4.csv,carga_horaria_professor,150.0,806.15,358.0,1785.0
resultado_final_pior_medio_teste_4.csv,quantidade_turmas_professor,1.0,4.48,2.02,10.0
resultado_final_melhor_micro_teste_1.csv,resultado_liquido_turma,-273.52,1038.48,398.14,1492.67
resultado_final_melhor_micro_teste_1.csv,carga_horaria_professor,195.0,607.5,328.8,1170.0
resultado_final_melhor_micro_teste_1.csv,quantidade_turmas_professor,1.0,2.88,1.36,5.0
resultado_final_pior_micro_teste_1.csv,resultado_liquido_turma,-273.52,1033.64,391.34,1492.67
resultado_final_pior_micro_teste_1.csv,carga_horaria_professor,195.0,540.0,219.2,780.0
resultado_final_pior_micro_teste_1.csv,quantidade_turmas_professor,1.0,2.56,1.07,4.0
resultado_final_melhor_micro_teste_2.csv,resultado_liquido_turma,-185.2,1014.04,396.22,1539.88
resultado_final_melhor_micro_teste_2.csv,carga_horaria_professor,390.0,694.29,273.87,1170.0
resultado_final_melhor_micro_teste_2.csv,quantidade_turmas_professor,2.0,3.29,1.03,5.0
resultado_final_pior_micro_teste_2.csv,resultado_liquido_turma,-185.2,1003.61,392.87,1539.88
resultado_final_pior_micro_teste_2.csv,carga_horaria_professor,195.0,540.0,178.33,780.0
resultado_final_pior_micro_teste_2.csv,quantidade_turmas_professor,1.0,2.56,0.68,3.0
resultado_final_melhor_micro_teste_3.csv,resultado_liquido_turma,-153.52,1027.47,368.46,1460.99
resultado_final_melhor_micro_teste_3.csv,carga_horaria_professor,195.0,694.29,340.52,1155.0
resultado_final_melhor_micro_teste_3.csv,quantidade_turmas_professor,1.0,3.29,1.67,6.0
resultado_final_pior_micro_teste_3.csv,resultado_liquido_turma,-153.52,991.04,363.47,1406.9
resultado_final_pior_micro_teste_3.csv,carga_horaria_professor,195.0,607.5,370.62,1365.0
resultado_final_pior_micro_teste_3.csv,quantidade_turmas_professor,1.0,2.88,1.54,6.0
resultado_final_melhor_micro_teste_4.csv,resultado_liquido_turma,-153.52,1030.68,379.74,1539.88
resultado_final_melhor_micro_teste_4.csv,carga_horaria_professor,585.0,810.0,345.76,1560.0
resultado_final_melhor_micro_teste_4.csv,quantidade_turmas_professor,2.0,3.83,1.57,7.0
resultado_final_pior_micro_teste_4.csv,resultado_liquido_turma,-153.52,1009.1,370.32,1517.03
resultado_final_pior_micro_teste_4.csv,carga_horaria_professor,195.0,694.29,463.21,1560.0
resultado_final_pior_micro_teste_4.csv,quantidade_turmas_professor,1.0,3.29,2.05,7.0
resultado_final_melhor_pequeno_teste_1.csv,resultado_liquido_turma,-256.9,880.88,476.91,1915.0
resultado_final_melhor_pequeno_teste_1.csv,carga_horaria_professor,195.0,833.93,281.11,1170.0
resultado_final_melhor_pequeno_teste_1.csv,quantidade_turmas_professor,1.0,4.36,1.59,6.0
resultado_final_pior_pequeno_teste_1.csv,resultado_liquido_turma,-358.06,886.14,478.31,1915.0
resultado_final_pior_pequeno_teste_1.csv,carga_horaria_professor,195.0,729.69,310.05,1365.0
resultado_final_pior_pequeno_teste_1.csv,quantidade_turmas_professor,1.0,3.81,1.67,6.0
resultado_final_melhor_pequeno_teste_2.csv,resultado_liquido_turma,-161.38,863.11,474.76,1919.48
resultado_final_melhor_pequeno_teste_2.csv,carga_horaria_professor,180.0,729.69,338.86,1305.0
resultado_final_melhor_pequeno_teste_2.csv,quantidade_turmas_professor,1.0,3.81,1.88,7.0
resultado_final_pior_pequeno_teste_2.csv,resultado_liquido_turma,-161.38,863.12,477.4,1919.48
resultado_final_pior_pequeno_teste_2.csv,carga_horaria_professor,195.0,729.69,361.29,1485.0
resultado_final_pior_pequeno_teste_2.csv,quantidade_turmas_professor,1.0,3.81,2.04,8.0
resultado_final_melhor_pequeno_teste_3.csv,resultado_liquido_turma,-171.74,874.5,474.36,1892.38
resultado_final_melhor_pequeno_teste_3.csv,carga_horaria_professor,180.0,778.33,390.17,1170.0
resultado_final_melhor_pequeno_teste_3.csv,quantidade_turmas_professor,1.0,4.07,2.02,6.0
resultado_final_pior_pequeno_teste_3.csv,resultado_liquido_turma,-273.52,870.63,474.47,1892.38
resultado_final_pior_pequeno_teste_3.csv,carga_horaria_professor,195.0,778.33,356.37,1260.0
resultado_final_pior_pequeno_teste_3.csv,quantidade_turmas_professor,1.0,4.07,1.84,7.0
resultado_final_melhor_pequeno_teste_4.csv,resultado_liquido_turma,-153.52,856.9,465.84,1919.48
resultado_final_melhor_pequeno_teste_4.csv,carga_horaria_professor,195.0,833.93,301.06,1320.0
resultado_final_melhor_pequeno_teste_4.csv,quantidade_turmas_professor,1.0,4.36,1.63,7.0
resultado_final_pior_pequeno_teste_4.csv,resultado_liquido_turma,-204.75,847.61,471.39,1915.0
resultado_final_pior_pequeno_teste_4.csv,carga_horaria_professor,195.0,778.33,391.05,1605.0
resultado_final_pior_pequeno_teste_4.csv,quantidade_turmas_professor,1.0,4.07,2.08,9.0
