IDTURMA,IDPROFESSOR
20611,953
20612,953
20614,953
20616,953
20617,953
20618,953
20639,953
20640,953
20651,953
20872,953
20911,953
21085,2346
21087,2346
21096,2346
21102,2346
21106,2346
21127,2346
21135,2346
21139,2346
21178,2346
21203,2346
20396,395
20399,395
20405,395
20407,395
20411,395
20414,395
20462,395
20487,395
20590,395
21059,395
21318,395
21327,395
20412,69995
20449,69995
20452,69995
20482,69995
20497,69995
20514,69995
20547,69995
20613,69995
20619,69995
20620,69995
20622,69995
20659,69995
20894,69995
20900,69995
20404,1288
20408,1288
20409,1288
20416,1288
20417,1288
20476,1288
20488,1288
20504,1288
20535,1288
20579,1288
20624,1288
20625,1288
20897,1288
21073,1288
20406,1188
20410,1188
20418,1188
20427,1188
20429,1188
20436,1188
20438,1188
20444,1188
20475,1188
20489,1188
20552,1188
20596,1188
20807,1188
20904,1188
20415,728
20419,728
20434,728
20440,728
20441,728
20490,728
20553,728
20592,728
20593,728
20681,728
20722,728
21303,728
21324,728
20428,68173
20432,68173
20439,68173
20523,68173
20537,68173
20538,68173
20554,68173
20591,68173
20711,68173
21061,68173
21450,68173
20585,1154
20600,1154
20608,1154
20638,1154
20804,1154
20744,1300
20747,1300
20773,1300
20774,1300
20843,1300
20962,1300
20331,765
20332,765
20335,765
20356,765
20363,765
20397,765
20402,765
20413,765
20467,765
20887,765
21118,765
21304,765
21305,765
21317,765
21338,765
20333,1084
20334,1084
20337,1084
20345,1084
20349,1084
20352,1084
20533,1084
20797,1084
20336,184
20339,184
20340,184
20347,184
20353,184
20364,184
20785,184
20809,184
21191,184
20338,69990
20341,69990
20342,69990
20344,69990
20346,69990
20354,69990
20378,69990
20433,69990
20443,69990
20539,69990
20555,69990
20556,69990
20564,69990
20594,69990
20749,69990
20751,69990
20357,1583
20359,1583
20373,1583
20379,1583
20387,1583
20389,1583
20442,805
20446,805
20447,805
20468,805
20491,805
20494,805
20633,805
20854,805
20905,805
21326,805
21328,805
20445,69985
20471,69985
20492,69985
20540,69985
20544,69985
20595,69985
20634,69985
20829,69985
20437,1107
20469,1107
20473,1107
20493,1107
20501,1107
20507,1107
20558,1107
20559,1107
20567,1107
20708,1107
20743,1107
20750,1107
20752,1107
20818,1107
20472,1014
20495,1014
20524,1014
20541,1014
20545,1014
20597,1014
20680,1014
21062,1014
21064,1014
21228,1014
21454,1014
20525,683
20669,683
20684,683
20688,683
20740,683
20789,683
21063,683
21230,683
21232,683
20527,1259
20734,1259
20754,1259
20802,1259
20819,1259
20876,1259
21065,1259
21384,1259
20423,1502
20499,1502
20503,1502
20505,1502
20560,1502
20561,1502
20741,1502
20821,1502
20822,1502
20827,1502
20832,1502
20845,1502
20889,1502
21236,1502
21462,1502
20481,1543
20528,1543
20779,1543
20786,1543
20977,1543
21021,1543
21022,1543
21066,1543
21067,1543
20532,449
20536,449
20546,449
20574,449
20769,449
20923,449
21057,449
21351,449
20778,68650
20781,68650
20784,68650
20793,68650
20981,68650
20506,1167
20557,1167
20565,1167
20717,1167
20742,1167
20796,1167
20842,1167
20986,1167
21002,1167
21008,1167
21339,1167
20641,1193
20642,1193
20653,1193
20895,1193
20907,1193
20934,1193
20938,1193
21193,1193
21348,1193
20615,1054
20628,1054
20702,1054
20727,1054
20967,1054
20973,1054
20988,1054
21340,1054
21370,1054
21470,1054
20563,1457
20621,1457
20730,1457
20782,1457
20824,1457
20825,1457
20901,1457
20955,1457
20992,1457
21058,1457
21288,1457
21306,1457
21468,1457
20732,1357
20746,1357
20748,1357
21050,1357
21092,1357
21369,1357
21447,1357
21479,1357
20450,1161
20454,1161
20456,1161
20458,1161
20460,1161
20484,1161
20508,1161
20522,1161
20587,1161
20601,1161
20661,1161
20709,1161
21446,1161
21474,1161
21481,1161
21482,1161
20530,690
20542,690
20570,690
20575,690
20715,690
20736,690
20910,690
20531,743
20543,743
20571,743
20576,743
20731,743
20737,743
21223,743
20626,1540
20670,1540
20671,1540
20676,1540
20790,1540
21077,1540
21311,1540
20795,522
20913,522
21322,522
20631,519
20823,519
20939,519
21060,519
21231,519
21398,519
20835,1116
20978,1116
20990,1116
21091,1116
21103,1116
21484,1116
20451,1012
20457,1012
20459,1012
20517,1012
20519,1012
20520,1012
20588,1012
20599,1012
20961,1012
20995,1012
20453,50588
20461,50588
20521,50588
20606,50588
20607,50588
20694,50588
20719,50588
20757,50588
20758,50588
20466,35245
20509,35245
20589,35245
20602,35245
20605,35245
20826,35245
20864,35245
20926,35245
20572,35259
20577,35259
20581,35259
20672,35259
20739,35259
20954,35259
21074,35259
21313,35259
20455,913
20485,913
20510,913
20549,913
20609,913
20696,913
20716,913
20383,13699
20384,13699
20385,13699
20513,13699
20655,13699
20798,13699
20838,46494
20918,46494
21068,46494
21069,46494
21226,46494
21312,46494
21478,46494
20348,46793
20350,46793
20351,46793
20360,46793
20370,46793
20393,46793
20721,46793
20810,46793
20355,48266
20358,48266
20361,48266
20371,48266
20392,48266
20400,48266
20811,48266
20828,48266
20394,51797
20534,51797
20550,51797
20656,51797
20662,51797
20720,51797
20928,51797
20929,51797
21319,51797
20803,1223
20931,1223
20940,1223
20951,1223
20965,1223
21154,1223
20486,52945
20512,52945
20569,52945
20630,52945
20636,52945
20645,52945
