IDTURMA,IDPROFESSOR
20652,953
20650,1193
21077,1193
20640,52945
20698,52945
20639,57639
20651,57639
20654,57639
20884,57972
20948,57972
20997,57972
20693,58543
20790,58543
20859,63882
20862,63882
20863,63882
20888,63882
20919,63882
21000,63882
20850,72039
20917,72039
20922,72039
20970,72039
21003,72039
21005,72039
20643,62344
20725,62344
20902,65877
20909,65877
20982,65877
20985,65877
20820,78631
20642,58096
20647,58096
20653,58096
20860,82070
20861,82070
20877,82070
20998,82070
21012,82070
21345,82070
20892,83288
20959,83288
20964,83288
21009,83288
21014,83288
21465,83288
20645,85669
20646,85669
20717,85669
20950,87001
20993,87001
20999,87001
21331,87001
20641,1391
20935,84328
20941,84328
21011,84328
20648,686
20759,686
20806,686
