IDTURMA,IDPROFESSOR
20639,953
20646,953
20651,953
21085,2346
21113,2346
20399,395
20411,395
20684,395
21490,395
20412,69995
20451,69995
20482,69995
20518,69995
20689,69995
20481,1288
20539,1288
20754,1288
20419,1188
20819,1188
20923,1188
20546,728
20889,728
21068,728
21227,728
20417,68173
20572,68173
20789,68173
21063,68173
20427,69990
20447,69990
20491,69990
20582,69990
20594,69990
21072,69990
21238,69990
20468,805
20490,805
20527,805
20905,805
20918,805
20536,69985
20583,69985
21069,69985
20408,1107
20414,1107
20493,1107
20528,1107
21059,1107
21075,1107
20434,1014
20593,1014
20933,1014
20939,1014
21061,1014
21230,1014
20669,683
21240,683
21351,683
21454,683
20469,1259
20681,1259
20736,1259
20910,1259
20396,1502
20428,1502
20631,1502
20711,1502
21062,1502
21070,1543
21236,1543
20524,449
20578,449
20740,449
21057,449
21064,449
21067,449
21229,449
21231,449
20698,1167
20648,1193
20759,1193
21077,1193
20459,1161
20460,1161
20569,1161
20588,1161
20589,1161
20609,1161
20709,1161
21249,1161
20410,690
20476,690
20552,690
20570,690
20575,690
20876,690
20440,743
20442,743
20722,743
20731,743
21234,743
20530,522
20913,522
20407,519
20769,519
21060,519
21327,519
21354,519
20509,1012
20549,1012
20599,1012
20636,50588
20694,50588
20700,50588
20605,35245
20758,35245
20416,35259
20542,35259
20584,35259
21036,35259
20466,913
20486,913
20534,913
20587,913
20705,913
20719,913
21244,913
20523,46494
20553,46494
20596,46494
20715,46494
20734,46494
20943,46494
21065,46494
21329,46494
20456,46793
20721,46793
21488,46793
20550,51797
20449,52945
20455,52945
20458,52945
20515,52945
20640,52945
20714,52945
20489,1617
20532,1617
20537,1617
20592,1617
20688,1617
21084,1617
21448,1617
21115,56939
21117,56939
21125,56939
21141,56939
21142,56939
21164,56939
21168,56939
21172,56939
20432,57290
20488,57290
20590,57290
20680,57290
21237,57290
21239,57290
20409,57381
20436,57381
20591,57381
20597,57381
21056,57381
21232,57381
20404,57455
20487,57455
20653,57639
20654,57639
20693,57639
21116,57649
21128,57649
21132,57649
21143,57649
21176,57649
21197,57649
20454,54448
20497,54448
20510,54448
20607,54448
20659,54448
20704,54448
20959,57972
20982,57972
20997,57972
20725,58543
20790,58543
20806,58543
20473,59008
20574,59008
21020,59008
21477,59008
20437,44206
20472,44206
20531,44206
20595,44206
20802,44206
21223,44206
21378,44206
21384,44206
20860,63882
20861,63882
20919,63882
20950,63882
20998,63882
21009,63882
20690,64727
20699,64727
21357,64727
20406,67720
20495,67720
20579,67720
20829,67720
20854,67720
21074,67720
20701,63756
20438,72051
20795,72051
21233,72051
21322,72051
20985,72039
21011,72039
21014,72039
21331,72039
20453,63270
20457,63270
20461,63270
20508,63270
20601,63270
20647,62344
20652,62344
20717,62344
20484,75379
20485,75379
20630,75379
21086,80140
21109,80140
21135,80140
21147,80140
21155,80140
21159,80140
21170,80140
21177,80140
21101,74355
21126,74355
21138,74355
21140,74355
21148,74355
21153,74355
21198,74355
21205,74355
21445,74355
20850,65877
20877,65877
20909,65877
21003,65877
21005,65877
21325,78626
21328,78626
20445,71117
20538,71117
20554,71117
20576,71117
21326,71117
21480,71117
20441,70342
20450,70342
20512,70342
20543,70342
20577,70342
20716,70342
21226,70342
20446,78645
20475,78645
20737,78645
21450,78645
21455,78645
20642,58096
20645,58096
21100,88653
21124,88653
21174,88653
21178,88653
20517,80479
20522,80479
20724,80479
20859,82070
20862,82070
20863,82070
20884,82070
21000,82070
20418,82080
20423,82080
20492,82080
20494,82080
20525,82080
20634,82080
21462,82080
21097,2076
21121,2076
21149,2076
21166,2076
21203,2076
20439,48922
20535,48922
20544,48922
20888,83288
20892,83288
20902,83288
20948,83288
21096,53429
21119,53429
21134,53429
21136,53429
21156,53429
21167,53429
21179,53429
21171,86157
21182,86157
21184,86157
21150,86213
21173,86213
21206,86213
20511,85646
20519,85646
20820,85669
20443,73383
20807,73383
20935,87001
20941,87001
20964,87001
20970,87001
20993,87001
20999,87001
21398,550
20471,69242
20633,13828
21235,13828
21324,13828
20541,75958
20573,75958
20581,75958
21108,89226
21127,89226
21145,89226
21146,89226
21209,89226
21120,87984
21151,87984
21165,87984
21181,87984
21186,87984
21199,87984
21208,87984
20641,1391
20650,1391
20757,65161
21110,90942
21087,90998
21099,90998
21133,90998
21180,90998
20606,66626
20696,66626
20703,66626
20917,84328
20922,84328
21012,84328
20452,226
20520,226
20602,226
21333,226
21334,226
20540,91896
20580,91896
20954,91896
21102,2114
21105,2114
21106,2114
21123,2114
21129,2114
21130,2114
21139,2114
21144,2114
20405,1347
20429,1347
20433,1347
20444,1347
20571,1347
20823,1347
21066,1347
21228,1347
21241,1347
20643,686
20663,1173
20707,1173
20415,1585
20521,1585
20545,1585
20661,1585
21055,1585
