geracao,fitness_medio,fitness_melhor,fitness_pior,diversidade
0,629608.013188322,642376.3860156655,618200.7901189997,715.5586206896552
1,630775.2701882664,642376.3860156655,620367.5417570003,712.0436781609195
2,631912.8174247887,642376.3860156655,621532.4892483328,707.0436781609195
3,632463.1102235554,642376.3860156655,622641.721268666,704.6689655172414
4,632463.1102235554,642376.3860156655,622641.721268666,704.6689655172414
5,632531.2479698331,642376.3860156655,624256.1096696657,701.4528735632183
6,633373.8174023442,642376.3860156655,624705.4474273345,696.6735632183908
7,634335.2772209997,642376.3860156655,625149.7730043342,685.9724137931033
8,634973.9724065886,642376.3860156655,626811.6076123334,676.3540229885058
9,635417.9707541664,642376.3860156655,627485.3723280004,671.5057471264367
10,636093.4409881663,642376.3860156655,629104.2050313316,664.6597701149425
11,636191.7945947998,642376.3860156655,630476.4056846664,662.0528735632184
12,636729.8412291552,642376.3860156655,631445.8891616678,655.6919540229885
13,636869.9052238996,642376.3860156655,631528.0892556658,653.4344827586207
14,636869.9052238996,642376.3860156655,631528.0892556658,653.4344827586207
15,637313.0441098107,642376.3860156655,632461.9949686661,637.0896551724138
16,637495.2541691551,642376.3860156655,632877.8778210003,617.1816091954023
17,637674.8872291552,642376.3860156655,633491.082094666,622.7885057471265
18,637821.2869591996,642376.3860156655,633700.1192283336,624.9172413793104
19,638131.9846664662,642376.3860156655,634247.7014896662,620.4965517241379
20,638439.1067414108,643461.3637380003,634371.2670963334,616.7310344827587
21,638565.8617854996,643461.3637380003,634744.3136896662,605.0390804597702
22,638932.4318599995,643461.3637380003,635647.8090039996,590.1609195402299
23,639167.1336418773,643461.3637380003,636181.8916529994,576.5586206896552
24,639388.1890329773,643461.3637380003,636645.3719313327,567.8850574712644
25,639388.1890329773,643461.3637380003,636645.3719313327,567.8850574712644
26,639474.0080341551,643461.3637380003,637045.5193059989,540.5609195402299
27,639721.840479344,644480.492661666,637693.590507667,525.9540229885057
28,639935.8615356662,644480.492661666,637733.5135676655,527.9770114942529
29,639945.3339269774,644480.492661666,637819.5697713338,533.6022988505747
30,640124.3981891329,644480.492661666,637883.0739959993,532.5908045977011
31,640124.3981891329,644480.492661666,637883.0739959993,532.5908045977011
32,640204.9984451218,644480.492661666,638013.6312813332,514.335632183908
33,640223.9306690439,644480.492661666,638041.2732113325,510.5471264367816
34,640223.9306690439,644480.492661666,638041.2732113325,510.5471264367816
35,640291.250527344,644480.492661666,638173.9184189991,515.5218390804598
36,640291.250527344,644480.492661666,638173.9184189991,515.5218390804598
37,640291.250527344,644480.492661666,638173.9184189991,515.5218390804598
38,640578.5061664105,646791.5875909984,638266.8696209993,511.0574712643678
39,640760.9876130774,646791.5875909984,638371.1720463339,510.5977011494253
40,640999.7762032772,646791.5875909984,638581.5979989982,498.60459770114943
41,640999.7762032772,646791.5875909984,638581.5979989982,498.60459770114943
42,641442.0160308216,647895.7102016658,638641.1702986659,492.6758620689655
43,641532.4815187549,647895.7102016658,638698.1585343328,492.4367816091954
44,641532.4815187549,647895.7102016658,638698.1585343328,492.4367816091954
45,641532.4815187549,647895.7102016658,638698.1585343328,492.4367816091954
46,641668.1794002216,647895.7102016658,638771.9413819986,489.2850574712644
47,641668.1794002216,647895.7102016658,638771.9413819986,489.2850574712644
48,641791.8530390215,647895.7102016658,638906.5228133334,472.4413793103448
49,641791.8530390215,647895.7102016658,638906.5228133334,472.4413793103448
50,642081.0603964104,647895.7102016658,639061.553317667,459.6919540229885
51,642271.1524205215,647895.7102016658,639178.6400823317,449.0390804597701
52,642402.0191687215,647895.7102016658,639260.9819546669,444.9908045977011
53,642402.0191687215,647895.7102016658,639260.9819546669,444.9908045977011
54,642402.0191687215,647895.7102016658,639260.9819546669,444.9908045977011
55,642402.0191687215,647895.7102016658,639260.9819546669,444.9908045977011
56,642402.0191687215,647895.7102016658,639260.9819546669,444.9908045977011
57,642652.7054240325,647895.7102016658,639479.9170986658,408.28045977011493
58,642756.2841879769,647895.7102016658,639589.7836389997,407.9080459770115
59,642917.8827777547,647895.7102016658,640060.8689603318,402.78620689655173
60,642917.8827777547,647895.7102016658,640060.8689603318,402.78620689655173
61,642917.8827777547,647895.7102016658,640060.8689603318,402.78620689655173
62,643157.0701915546,647895.7102016658,640136.5242980001,383.5655172413793
63,643259.0063966212,647895.7102016658,640200.1431116658,363.21839080459773
64,643517.1964003324,647945.8432229983,640346.5131653327,355.9103448275862
65,643817.714655299,647945.8432229983,641139.0308569997,349.0873563218391
66,644271.649958588,648416.5273766657,641355.1349366652,334.64827586206894
67,644271.649958588,648416.5273766657,641355.1349366652,334.64827586206894
68,644541.0597221769,648416.5273766657,641820.8824213335,330.6919540229885
69,644723.7141131101,648416.5273766657,642348.0013573321,318.87586206896543
70,644723.7141131101,648416.5273766657,642348.0013573321,318.87586206896543
71,645039.395249599,648416.5273766657,642433.1305253321,296.06896551724145
72,645334.960674788,648416.5273766657,642587.2800169985,281.73793103448276
73,645583.5746524989,649563.3477503323,642813.5533860002,272.7931034482759
74,645987.3532424768,649563.3477503323,643104.6425283318,247.2206896551724
75,645987.3532424768,649563.3477503323,643104.6425283318,247.2206896551724
76,646315.0308415544,649563.3477503323,643194.6104499989,226.37241379310345
77,646617.5953702324,649563.3477503323,643461.3637380003,191.94252873563218
78,646806.6618121878,649563.3477503323,643786.3042583322,160.10344827586206
79,646806.6618121878,649563.3477503323,643786.3042583322,160.10344827586206
80,646917.0906327988,649563.3477503323,643798.1668283319,140.19310344827585
81,647192.8710551988,649563.3477503323,644114.2221973324,125.7816091954023
82,647192.8710551988,649563.3477503323,644114.2221973324,125.7816091954023
83,647192.8710551988,649563.3477503323,644114.2221973324,125.7816091954023
84,647192.8710551988,649563.3477503323,644114.2221973324,125.7816091954023
85,647354.6059711322,649563.3477503323,644480.492661666,115.29425287356322
86,647778.9480056656,651398.2345253316,645185.9066909987,100.50574712643679
87,648008.3642112544,651398.2345253316,645976.0145616651,86.71954022988506
88,648048.2855078878,651398.2345253316,646206.9241076653,81.03908045977012
89,648160.1945210545,651398.2345253316,646727.7412826653,80.59080459770115
90,648160.1945210545,651398.2345253316,646727.7412826653,80.59080459770115
91,648340.7056583434,651398.2345253316,646791.5875909984,80.34022988505747
92,648551.8371371435,653125.5319549992,647099.1688766656,80.75632183908046
93,648785.1396170545,653125.5319549992,647173.6534606661,84.46896551724136
94,648785.1396170545,653125.5319549992,647173.6534606661,84.46896551724136
95,648785.1396170545,653125.5319549992,647173.6534606661,84.46896551724136
96,648785.1396170545,653125.5319549992,647173.6534606661,84.46896551724136
97,648785.1396170545,653125.5319549992,647173.6534606661,84.46896551724136
98,649060.9156082879,653762.5973466657,647236.4913743316,78.64367816091954
99,649192.4384064879,653762.5973466657,647467.0801849992,74.73333333333333
100,649192.4384064879,653762.5973466657,647467.0801849992,74.73333333333333
