geracao,fitness_medio,fitness_melhor,fitness_pior,diversidade
0,284395.6134633447,296918.4104089997,275917.2294543334,359.06896551724145
1,285177.30549085577,296918.4104089997,278354.15434266673,357.632183908046
2,286157.6531741446,296918.4104089997,280106.82606566686,355.87586206896543
3,286157.6531741446,296918.4104089997,280106.82606566686,355.87586206896543
4,286634.9966461224,296918.4104089997,281033.26289633353,353.6666666666667
5,286634.9966461224,296918.4104089997,281033.26289633353,353.6666666666667
6,287187.90223994467,296918.4104089997,281621.5325049995,350.0183908045977
7,287187.90223994467,296918.4104089997,281621.5325049995,350.0183908045977
8,288007.8558791002,296948.15994233306,282054.50407800026,345.7586206896552
9,288152.25990745577,296948.15994233306,282488.1112580004,342.6275862068965
10,288584.92580257804,296948.15994233306,283209.65044166695,336.0919540229885
11,289153.0157538002,296948.15994233306,283461.2453570004,332.11034482758623
12,289559.7392220224,296948.15994233306,283833.37140333356,327.5770114942529
13,289998.6572378557,296948.15994233306,284155.190588333,321.35172413793106
14,290723.90812277794,296948.15994233306,285035.98160066677,314.8344827586207
15,290723.90812277794,296948.15994233306,285035.98160066677,314.8344827586207
16,291461.8424049557,297302.19448400015,285598.06272000034,312.2068965517241
17,291991.2603842224,297354.8675256664,286386.6249286671,298.17241379310343
18,292552.7530512446,299693.69219233346,287784.6567526668,293.3241379310345
19,292872.68602262234,299693.69219233346,288467.33307800005,286.36551724137934
20,292872.68602262234,299693.69219233346,288467.33307800005,286.36551724137934
21,293104.9909198668,299693.69219233346,289005.5714036667,281.264367816092
22,293340.2852292334,299693.69219233346,289152.17804533365,284.44827586206895
23,293696.009117189,299823.8946839999,289682.1221113338,279.2988505747126
24,294089.6303112778,301490.75793399994,289778.9273923335,273.76781609195405
25,294595.15250597784,301490.75793399994,289965.4489173335,269.6758620689655
26,294939.0055368556,301490.75793399994,290302.1571453338,260.3333333333333
27,295318.8238554889,301490.75793399994,291171.06823066645,245.2206896551724
28,295624.62851802225,301490.75793399994,291595.2863056665,231.01609195402298
29,295996.82730118895,301490.75793399994,292676.38285300054,224.6183908045977
30,296117.48003277776,301490.75793399994,293552.6130923336,211.7425287356322
31,296117.48003277776,301490.75793399994,293552.6130923336,211.7425287356322
32,296117.48003277776,301490.75793399994,293552.6130923336,211.7425287356322
33,296435.92808717774,301490.75793399994,293643.7849053337,196.42298850574713
34,296719.31607879995,301490.75793399994,293968.274925667,176.35402298850576
35,296786.3848124111,301490.75793399994,294152.41385899985,162.30804597701146
36,296786.3848124111,301490.75793399994,294152.41385899985,162.30804597701146
37,296786.3848124111,301490.75793399994,294152.41385899985,162.30804597701146
38,296819.6953576889,301490.75793399994,294170.1964613335,171.80919540229885
39,296967.1058217,301490.75793399994,294519.9518673335,169.5448275862069
40,296967.1058217,301490.75793399994,294519.9518673335,169.5448275862069
41,296967.1058217,301490.75793399994,294519.9518673335,169.5448275862069
42,296967.1058217,301490.75793399994,294519.9518673335,169.5448275862069
43,297154.8486055889,301490.75793399994,294576.07775900007,169.33793103448275
44,297154.8486055889,301490.75793399994,294576.07775900007,169.33793103448275
45,297370.61231614446,301490.75793399994,295030.3121256667,166.30114942528735
46,297370.61231614446,301490.75793399994,295030.3121256667,166.30114942528735
47,297370.61231614446,301490.75793399994,295030.3121256667,166.30114942528735
48,297370.61231614446,301490.75793399994,295030.3121256667,166.30114942528735
49,297713.96382420004,301819.098634,295053.9786673334,164.2551724137931
50,297905.49900209997,301819.098634,295109.86925899965,151.2712643678161
51,298079.1979279333,301819.098634,295752.5528603333,134.9632183908046
52,298226.7660695556,301819.098634,295755.4591589999,123.84597701149427
53,298226.7660695556,301819.098634,295755.4591589999,123.84597701149427
54,298226.7660695556,301819.098634,295755.4591589999,123.84597701149427
