IDTURMA,IDPROFESSOR
20331,1294
20332,57257
20333,70342
20334,49332
20335,57070
20336,48266
20337,765
20338,57070
20339,1489
20340,69990
20341,49332
20342,1391
20343,2048
20344,1489
20345,1583
20346,13699
20347,1182
20348,75453
20349,69990
20350,57309
20351,75453
20352,75421
20353,1347
20354,75421
20355,70373
20356,57309
20357,57309
20358,1084
20359,1347
20360,65341
20361,57309
20362,1347
20363,57455
20364,75421
20365,1391
20366,75453
20367,77145
20368,65341
20369,82085
20370,57070
20371,49332
20372,46793
20373,57309
20378,57070
20379,765
20380,70342
20381,69242
20383,1482
20384,1482
20385,70342
20386,57257
20387,1583
20388,13699
20389,13699
20392,1291
20393,184
20394,765
20395,82085
20396,690
20397,57455
20398,1482
20399,728
20400,2048
20401,2048
20402,75421
20403,58096
20404,1259
20405,395
20406,57290
20407,1347
20408,1617
20409,728
20410,57455
20411,68173
20412,52945
20413,57070
20414,1502
20415,519
20416,57290
20417,1617
20418,1259
20419,69990
20421,1182
20422,849
20423,57381
20427,69242
20428,1188
20429,1543
20432,69242
20433,78645
20434,69985
20436,44206
20437,683
20438,44206
20439,683
20440,743
20441,69985
20442,67720
20443,69242
20444,67720
20445,73383
20446,82080
20447,1585
20449,80479
20450,75379
20451,57455
20452,50588
20453,913
20454,46793
20455,52945
20456,63270
20457,35245
20458,52945
20459,65161
20460,1585
20461,1161
20462,226
20463,1294
20465,184
20466,52945
20467,82085
20468,59008
20469,805
20471,69985
20472,182
20473,91896
20475,182
20476,46494
20481,57290
20482,1012
20484,1012
20485,35245
20486,913
20487,46494
20488,1502
20489,1288
20490,1188
20491,13828
20492,743
20493,73383
20494,91896
20495,1347
20496,1347
20497,913
20499,1357
20501,69990
20503,1502
20504,62344
20505,83288
20506,1399
20507,57972
20508,913
20509,1585
20510,52945
20511,85646
20512,70342
20513,70373
20514,64790
20515,54448
20517,63270
20518,35245
20519,63270
20520,57455
20521,1012
20522,63270
20523,1259
20524,1585
20525,46494
20527,1502
20528,44206
20530,1014
20531,182
20532,1543
20533,63099
20534,35245
20535,48922
20536,728
20537,70342
20538,67720
20539,69985
20540,1585
20541,69990
20542,69990
20543,68173
20544,35259
20545,449
20546,449
20547,1167
20549,75379
20550,50588
20552,1188
20553,57381
20554,82080
20555,1116
20556,75453
20557,63756
20558,1161
20559,686
20560,1399
20561,44206
20563,85669
20564,85687
20565,57070
20567,190
20569,63756
20570,1014
20571,1347
20572,1617
20573,743
20574,1014
20575,1585
20576,690
20577,690
20578,75958
20579,1617
20580,1347
20581,67720
20582,91896
20583,59008
20584,75958
20585,69995
20587,1161
20588,85646
20589,51797
20590,728
20591,683
20592,519
20593,72051
20594,46494
20595,1014
20596,57381
20597,72051
20599,64727
