IDTURMA,IDPROFESSOR
20396,68173
20399,395
20404,449
20405,70342
20406,70342
20407,1014
20408,44206
20409,1585
20410,46494
20411,1502
20412,75379
20414,1014
20415,519
20416,71117
20417,1188
20418,449
20419,1259
20423,1502
20427,78645
20428,1107
20429,1347
20432,683
20433,72051
20434,72051
20436,1502
20437,1188
20438,1014
20439,1502
20440,48922
20441,48922
20442,69242
20443,1107
20444,70342
20445,69990
20446,805
20447,59008
20449,46793
20450,52945
20451,63270
20452,1161
20453,1585
20454,50588
20455,913
20456,46793
20457,1161
20458,65161
20459,63756
20460,65161
20461,54448
20466,51797
20468,1014
20469,1188
20471,805
20472,57381
20473,69242
20475,1502
20476,728
20481,1288
20482,70342
20484,80479
20485,75379
20486,54448
20487,449
20488,1014
20489,1617
20490,44206
20491,67720
20492,91896
20493,70342
20494,1188
20495,69985
20497,1161
20508,75379
20509,57455
20510,52945
20511,64727
20512,54448
20515,913
20517,50588
20518,57455
20519,913
20520,63270
20521,70342
20522,63756
20523,1347
20524,67720
20525,69990
20527,690
20528,683
20530,72051
20531,182
20532,1585
20534,1161
20535,1347
20536,48922
20537,35259
20538,1288
20539,91896
20540,71117
20541,743
20542,69990
20543,728
20544,449
20545,1347
20546,75958
20549,1161
20550,51797
20552,1188
20553,1347
20554,395
20569,46793
20570,69985
20571,1617
20572,44206
20573,59008
20574,48922
20575,69990
20576,91896
20577,690
20578,59008
20579,67720
20580,75958
20581,68173
20582,71117
20583,44206
20584,743
20587,70342
20588,1012
20589,63756
20590,683
20591,71117
20592,690
20593,743
20594,728
20595,72051
20596,78645
20597,1347
20599,1012
20601,63270
20602,226
20605,226
20606,75379
20607,69995
20609,70342
20630,75379
20631,805
20633,46494
20634,57381
20636,913
20639,57639
20640,1391
20641,52945
20642,85669
20643,52945
20645,62344
20646,58096
20647,85669
20648,58096
20650,57639
20651,1193
20652,62344
20653,686
20654,1193
20659,50588
20661,66626
20663,63756
20669,82080
20680,67720
20681,67720
20684,35259
20688,1617
20689,54448
20690,64727
20693,62344
20694,50588
20696,52945
20698,58543
20699,69995
20700,75379
20701,66626
20703,64727
20704,63756
20705,75379
20707,1173
20709,1161
20710,1161
20711,1543
20712,52945
20714,52945
20715,48922
20716,913
20717,58543
20719,70342
20721,1012
20722,690
20724,46793
20725,1167
20726,80479
20731,46494
20734,683
20736,1259
20737,46494
20740,683
20754,1502
20757,51797
20758,1012
20759,85669
20769,449
20789,1347
20790,58543
20795,69985
20802,67720
20806,1391
20807,1107
20819,71117
20820,62344
20823,683
20829,73383
20850,65877
20854,72051
20859,63882
20860,82070
20861,82070
20862,63882
20863,82070
20876,69242
20877,65877
20884,63882
20888,83288
20889,57455
20892,72039
20902,72039
20905,805
20909,65877
20910,1188
20913,69242
20917,84328
20918,728
20919,84328
20922,82070
20923,683
20933,72051
20935,72039
20939,57290
20941,72039
20943,805
20948,83288
20950,82070
20954,69985
20959,65877
20964,87001
20970,65877
20982,87001
20985,87001
20993,72039
20997,57972
20998,63882
20999,72039
21000,82070
21003,83288
21005,65877
21009,82070
21011,87001
21012,84328
21014,65877
21020,75958
21036,48922
21055,82080
21056,57381
21057,395
21059,1107
21060,519
21061,1014
21062,1014
21063,1543
21064,1188
21065,57290
21066,48922
21067,78645
21068,805
21069,743
21070,57381
21072,71117
21074,1617
21075,1014
21077,57639
21084,35259
21085,87984
21086,90942
21087,80140
21096,53429
21097,53429
21099,2114
21100,2346
21101,74355
21102,74355
21105,56939
21106,80140
21108,57649
21109,2076
21110,89226
21113,56939
21115,88653
21116,53429
21117,2346
21119,74355
21120,88653
21121,88653
21123,74355
21124,57649
21125,2076
21126,74355
21127,57649
21128,53429
21129,53429
21130,53429
21132,57649
21133,87984
21134,53429
21135,56939
21136,74355
21138,57649
21139,2076
21140,57649
21141,87984
21142,56939
21143,74355
21144,2114
21145,89226
21146,89226
21147,89226
21148,2076
21149,87984
21150,80140
21151,86213
21153,2114
21155,86213
21156,2076
21159,80140
21164,86157
21165,90998
21166,80140
21167,87984
21168,2114
21170,2114
21171,86157
21172,90998
21173,80140
21174,2076
21176,2076
21177,87984
21178,2346
21179,86157
21180,88653
21181,90998
21182,86157
21184,86213
21185,0
21186,80140
21187,0
21197,53429
21198,2114
21199,2076
21203,2076
21205,88653
21206,2346
21208,87984
21209,90942
21223,395
21226,57290
21227,75958
21228,1543
21229,449
21230,1543
21231,449
21232,1347
21233,1188
21234,82080
21235,1107
21236,1617
21237,71117
21238,69990
21239,73383
21240,44206
21241,1502
21244,54448
21249,63270
21322,59008
21324,1347
21325,519
21326,13828
21327,395
21328,395
21329,13828
21331,87001
21333,57455
21334,226
21345,65877
21351,72051
21354,35259
21357,64727
21378,1502
21384,57381
21398,13828
21445,74355
21448,59008
21450,69242
21454,69990
21455,1188
21462,1585
21465,82070
21477,75958
21480,1347
21488,1585
21490,57455
