IDTURMA,IDPROFESSOR
20639,1193
20640,1193
20641,58096
20642,62344
20643,52945
20645,1391
20646,58096
20647,57639
20648,85669
20650,85669
20651,52945
20652,52945
20653,57639
20654,58096
20693,78631
20698,85669
20717,62344
20725,78631
20759,62344
20790,57639
20806,52945
20820,52945
20850,83288
20859,82070
20860,82070
20861,63882
20862,63882
20863,63882
20877,83288
20884,57972
20888,83288
20892,72039
20902,72039
20909,65877
20917,84328
20919,87001
20922,84328
20935,82070
20941,82070
20948,82070
20950,63882
20959,57972
20964,72039
20970,83288
20982,83288
20985,87001
20993,57972
20997,87001
20998,63882
20999,83288
21000,63882
21003,83288
21005,72039
21009,82070
21011,72039
21012,87001
21014,57972
21077,1193
21331,65877
21345,72039
21465,82070
