geracao,fitness_medio,fitness_melhor,fitness_pior,diversidade
0,628429.4264856777,646530.2731319997,605954.888091001,714.6712643678161
1,630020.0748386442,646530.2731319997,611796.597464666,711.2735632183908
2,631586.1092466332,646530.2731319997,618549.1196023347,708.6574712643679
3,631910.5215982554,646530.2731319997,620742.2264163343,705.5425287356322
4,632800.2954137219,646530.2731319997,621190.7496053331,702.1816091954023
5,633268.2156448665,646530.2731319997,621719.964341666,700.5609195402299
6,634090.8193888331,646530.2731319997,623403.9837429986,697.9609195402298
7,634090.8193888331,646530.2731319997,623403.9837429986,697.9609195402298
8,634540.9734990776,646530.2731319997,625385.1444963333,693.6275862068966
9,635020.0032499331,646530.2731319997,626401.8819966674,690.2666666666667
10,636144.0815656331,646530.2731319997,628006.628296332,685.4781609195402
11,636868.9149791554,646530.2731319997,628100.1862379991,678.4896551724138
12,637236.3501210888,646530.2731319997,629543.9373723343,675.648275862069
13,637749.9825178665,646530.2731319997,631686.9815696654,669.1632183908046
14,638271.1132058554,646530.2731319997,632108.3712083322,659.3425287356321
15,639028.3997651333,646530.2731319997,633013.7348053332,649.903448275862
16,639733.008111711,646681.2333576663,634334.0655323335,637.5402298850574
17,640089.6507823777,646681.2333576663,634349.5636789998,636.2712643678161
18,640430.9604084888,646681.2333576663,634579.376851333,636.7057471264368
19,640915.2944049443,646681.2333576663,634946.3567956664,621.7149425287356
20,641035.2313258443,646681.2333576663,635228.3565396676,614.7126436781608
21,641416.366639211,646681.2333576663,636080.0210406666,604.0735632183909
22,641532.9199393998,646681.2333576663,636908.607050332,598.1149425287356
23,641700.6316141888,646681.2333576663,636952.518057668,598.0045977011495
24,642022.4485922442,646681.2333576663,637295.4560293341,584.7080459770115
25,642022.4485922442,646681.2333576663,637295.4560293341,584.7080459770115
26,642171.5539931331,646681.2333576663,637541.8878676662,583.4183908045977
27,642171.5539931331,646681.2333576663,637541.8878676662,583.4183908045977
28,642269.7049871441,646681.2333576663,638117.3018919987,572.7264367816092
29,642306.0015969886,646681.2333576663,638496.1134749989,570.1149425287356
30,642387.815252122,646681.2333576663,638544.4644226662,575.1057471264368
31,642610.2274924553,646681.2333576663,638870.3623473345,577.0850574712643
