geracao,fitness_medio,fitness_melhor,fitness_pior,diversidade
0,284141.1318114557,294628.753926,276837.107823,359.89425287356323
1,284663.4094109446,294628.753926,277519.5025026667,358.10574712643677
2,285160.9165497113,294628.753926,280329.7824283335,355.53793103448277
3,285209.14018952247,294628.753926,280356.9336113334,354.98850574712645
4,285461.49713730026,294628.753926,281094.84306833363,351.7057471264368
5,285770.8120692558,294628.753926,281776.49162266694,349.1425287356322
6,286162.6501306669,294628.753926,282490.7563856668,346.1333333333333
7,286162.6501306669,294628.753926,282490.7563856668,346.1333333333333
8,286799.8176764002,294628.753926,282684.17283866694,342.62988505747126
9,287124.6699029558,294628.753926,283295.0926670001,340.1770114942529
10,287389.6305069113,294628.753926,283644.2206569999,335.1655172413793
11,287767.986706378,294628.753926,283797.3338160001,331.71954022988507
12,287767.986706378,294628.753926,283797.3338160001,331.71954022988507
13,287870.8688391224,294628.753926,283818.0149953337,329.1655172413793
14,288146.0695752002,294628.753926,284160.7690206671,320.6988505747127
15,288476.96643551136,294628.753926,284784.3464183343,322.5540229885057
16,288476.96643551136,294628.753926,284784.3464183343,322.5540229885057
17,288771.3589933225,294628.753926,285001.24476233346,312.3494252873563
18,288785.863056578,294628.753926,285436.3666600004,312.5310344827586
19,288800.26436693355,294628.753926,285582.46232999954,313.05057471264365
20,288800.26436693355,294628.753926,285582.46232999954,313.05057471264365
21,289034.77672328916,294628.753926,285665.9780956669,308.1287356321839
22,289084.8433893114,294628.753926,285868.40597066697,306.85057471264366
23,289084.8433893114,294628.753926,285868.40597066697,306.85057471264366
24,289378.22797275585,294628.753926,286350.87461100036,301.34022988505745
25,289605.28364947805,294628.753926,286454.558388667,298.14022988505747
26,290085.3566229336,294853.5871706669,287106.3102356668,293.7149425287356
27,290302.4407571558,294853.5871706669,287167.9780763337,287.735632183908
28,290302.4407571558,294853.5871706669,287167.9780763337,287.735632183908
29,290528.1925021892,294853.5871706669,287441.6789553337,285.3724137931035
30,290708.5580375336,294853.5871706669,287743.5676609999,284.2206896551724
31,290708.5580375336,294853.5871706669,287743.5676609999,284.2206896551724
32,291090.19234810024,294853.5871706669,287855.1488206671,284.6436781609196
33,291376.2963041892,294853.5871706669,288119.7620200001,288.5494252873563
34,291565.4189985114,294853.5871706669,288373.54583066714,284.9954022988506
35,291960.08157011133,296054.1994693335,288553.80242000043,277.63448275862066
36,292311.6083759002,298457.6036026668,289674.2834040001,276.31954022988504
37,292719.2565270002,298583.80937100045,290316.0599600002,275.72643678160915
38,292789.3213482114,298583.80937100045,290341.74781266693,277.59540229885056
39,292822.81219681137,298583.80937100045,290471.21895400016,276.7310344827586
40,292857.9429898224,298583.80937100045,290643.0889193333,263.3609195402299
41,293293.53865944466,301171.4045610001,290912.3482100002,264.85977011494253
