geracao,fitness_medio,fitness_melhor,fitness_pior,diversidade
0,33032.64552121111,37997.841593000005,28569.532830333323,46.763218390804596
1,33622.761527500006,38614.501919,29908.66789299999,46.67126436781609
2,33815.7836792,38614.501919,30883.71019699999,46.54022988505747
3,34088.9037991,38614.501919,31322.889918999997,45.9816091954023
4,34088.9037991,38614.501919,31322.889918999997,45.9816091954023
5,34442.81620740001,38614.501919,31456.770819000027,45.50574712643678
6,34783.95533798889,38614.501919,32126.402194,44.783908045977014
7,35095.71264743333,38614.501919,32683.07234800001,44.186206896551724
8,35407.568227055555,38614.501919,32869.20482633335,43.53793103448276
9,35741.48611792222,39470.10032633333,33087.13055633334,42.91034482758621
10,35984.43135192222,39470.10032633333,33663.39531800002,41.82528735632184
11,36332.03302275555,39470.10032633333,33741.34533566668,40.37931034482759
12,36560.8156522,40140.432319000014,34084.19634700002,39.38390804597701
13,36560.8156522,40140.432319000014,34084.19634700002,39.38390804597701
14,36678.07785151111,40140.432319000014,34272.82394399998,38.40459770114943
15,36901.34696814444,40140.432319000014,34304.91811899998,36.92413793103448
16,37044.99976147778,40140.432319000014,34341.691094,35.83448275862069
17,37250.13717814444,40140.432319000014,34455.219918999996,34.26206896551724
18,37400.42963564444,40140.432319000014,35310.818326333334,34.12873563218391
19,37598.81681706666,40140.432319000014,35699.332443999985,33.10574712643678
20,37689.217799566664,40140.432319000014,35720.227843999994,32.48735632183908
21,37806.00608203334,40140.432319000014,36008.23916900001,32.864367816091956
22,37806.00608203334,40140.432319000014,36008.23916900001,32.864367816091956
23,37806.00608203334,40140.432319000014,36008.23916900001,32.864367816091956
24,37806.00608203334,40140.432319000014,36008.23916900001,32.864367816091956
25,37973.0161662,40140.432319000014,36295.09559399998,32.358620689655176
26,38180.62282783333,40611.15319300002,36472.53357633334,31.44367816091954
27,38368.22727925555,40611.15319300002,36789.272193000004,30.02528735632184
28,38501.08694706667,40611.15319300002,37170.57241800001,28.864367816091953
29,38609.364334011116,40611.15319300002,37330.30939399999,27.163218390804598
30,38609.364334011116,40611.15319300002,37330.30939399999,27.163218390804598
31,38609.364334011116,40611.15319300002,37330.30939399999,27.163218390804598
32,38623.40459397778,40611.15319300002,37499.00729399999,27.1816091954023
33,38692.350070366665,40611.15319300002,37619.33329399999,25.98390804597701
34,38815.63007644445,40925.40520133334,37619.333294,24.149425287356323
35,38815.63007644445,40925.40520133334,37619.333294,24.149425287356323
36,38943.15310672223,40946.49032633334,37934.586218000004,22.404597701149424
37,38943.15310672223,40946.49032633334,37934.586218000004,22.404597701149424
38,38943.15310672223,40946.49032633334,37934.586218000004,22.404597701149424
39,38943.15310672223,40946.49032633334,37934.586218000004,22.404597701149424
40,38943.15310672223,40946.49032633334,37934.586218000004,22.404597701149424
41,38987.35047283334,40946.49032633334,37997.841593000005,21.411494252873563
42,38987.35047283334,40946.49032633334,37997.841593000005,21.411494252873563
43,39004.894342866675,40946.49032633334,38011.66156900001,20.326436781609196
44,39053.50896811111,40946.49032633334,38223.178718999996,20.381609195402298
45,39065.873617277786,40946.49032633334,38250.051069,21.717241379310344
46,39065.873617277786,40946.49032633334,38250.051069,21.717241379310344
47,39065.873617277786,40946.49032633334,38250.051069,21.717241379310344
48,39167.28422557779,40946.49032633334,38264.683069000006,21.535632183908046
49,39220.34915606667,40946.49032633334,38475.534319000006,21.135632183908047
50,39269.24768103334,40946.49032633334,38475.53431900001,21.183908045977013
51,39388.650814611115,42057.62832633333,38475.53431900001,21.27816091954023
52,39512.240760688896,42057.62832633333,38594.11819399997,20.763218390804596
53,39579.475260655556,42057.62832633333,38594.11819399998,19.091954022988507
54,39579.475260655556,42057.62832633333,38594.11819399998,19.091954022988507
55,39668.78837648889,42057.62832633333,38614.501919,17.20919540229885
56,39668.78837648889,42057.62832633333,38614.501919,17.20919540229885
57,39770.745340622234,42057.62832633333,38727.297693999986,16.195402298850574
58,39770.745340622234,42057.62832633333,38727.297693999986,16.195402298850574
59,39844.71842836668,42057.62832633333,38727.29769399999,15.639080459770115
60,39844.71842836668,42057.62832633333,38727.29769399999,15.639080459770115
61,39917.98867861112,42057.62832633333,38811.63819399999,15.16551724137931
62,40041.15064993334,42057.62832633333,38946.25519300001,14.013793103448275
63,40130.12761663334,42057.62832633333,39007.485701333346,14.245977011494253
64,40248.2166871889,42057.62832633333,39260.507201333334,14.24367816091954
65,40248.2166871889,42057.62832633333,39260.507201333334,14.24367816091954
66,40248.2166871889,42057.62832633333,39260.507201333334,14.24367816091954
67,40248.2166871889,42057.62832633333,39260.507201333334,14.24367816091954
68,40248.2166871889,42057.62832633333,39260.507201333334,14.24367816091954
