IDTURMA,IDPROFESSOR
20396,1585
20399,57455
20404,395
20405,35259
20406,1014
20407,68173
20408,1502
20409,805
20410,46494
20411,1288
20412,35245
20414,1188
20415,35259
20416,67720
20417,449
20418,71117
20419,67720
20423,82080
20427,72051
20428,1347
20429,57290
20432,683
20433,68173
20434,690
20436,67720
20437,683
20438,57381
20439,78645
20440,69985
20441,73383
20442,44206
20443,1585
20444,1259
20445,73383
20446,69242
20447,69985
20449,1585
20450,69995
20451,50588
20452,80479
20453,1012
20454,1012
20455,913
20456,52945
20457,1161
20458,52945
20459,35245
20460,63270
20461,75379
20466,63756
20468,69990
20469,72051
20471,59008
20472,1188
20473,1107
20475,59008
20476,1107
20481,1107
20482,69995
20484,63756
20485,52945
20486,54448
20487,1288
20488,35259
20489,46494
20490,1585
20491,69242
20492,78645
20493,67720
20494,13828
20495,1259
20497,50588
20508,35245
20509,35245
20510,52945
20511,85646
20512,70342
20515,913
20517,80479
20518,1161
20519,52945
20520,913
20521,1012
20522,85646
20523,69990
20524,44206
20525,1014
20527,1288
20528,683
20530,78645
20531,73383
20532,1347
20534,65161
20535,690
20536,1617
20537,48922
20538,35259
20539,449
20540,1347
20541,728
20542,91896
20543,68173
20544,743
20545,44206
20546,71117
20549,85646
20550,50588
20552,690
20553,69990
20554,449
20569,51797
20570,1617
20571,48922
20572,71117
20573,48922
20574,69985
20575,59008
20576,690
20577,67720
20578,68173
20579,67720
20580,67720
20581,68173
20582,1347
20583,1288
20584,69990
20587,46793
20588,80479
20589,35245
20590,690
20591,71117
20592,57290
20593,70342
20594,690
20595,683
20596,69985
20597,72051
20599,1585
20601,75379
20602,35245
20605,35245
20606,54448
20607,69995
20609,66626
20630,52945
20631,728
20633,1347
20634,72051
20636,75379
20639,85669
20640,1193
20641,58096
20642,58096
20643,57639
20645,1193
20646,686
20647,52945
20648,57639
20650,1391
20651,58096
20652,953
20653,57639
20654,85669
20659,63756
20661,75379
20663,63756
20669,1259
20680,35259
20681,728
20684,1107
20688,46494
20689,1173
20690,1161
20693,62344
20694,1173
20696,1161
20698,58096
20699,54448
20700,50588
20701,1585
20703,913
20704,1173
20705,66626
20707,70342
20709,1161
20710,1161
20711,57455
20712,0
20714,52945
20715,1014
20716,913
20717,85669
20719,1012
20721,70342
20722,690
20724,80479
20725,58543
20726,46793
20731,73383
20734,1014
20736,1585
20737,1259
20740,57381
20754,1617
20757,35245
20758,69995
20759,1193
20769,519
20789,57290
20790,58543
20795,59008
20802,805
20806,58543
20807,78645
20819,1347
20820,78631
20823,1585
20829,69242
20850,87001
20854,67720
20859,63882
20860,63882
20861,82070
20862,82070
20863,63882
20876,1502
20877,63882
20884,65877
20888,63882
20889,728
20892,72039
20902,83288
20905,1014
20909,65877
20910,1014
20913,46494
20917,87001
20918,57290
20919,87001
20922,82070
20923,57290
20933,1014
20935,84328
20939,1288
20941,84328
20943,73383
20948,65877
20950,72039
20954,91896
20959,72039
20964,87001
20970,83288
20982,83288
20985,72039
20993,83288
20997,83288
20998,63882
20999,83288
21000,82070
21003,65877
21005,72039
21009,57972
21011,82070
21012,72039
21014,87001
21020,75958
21036,67720
21055,57381
21056,82080
21057,1107
21059,449
21060,395
21061,69242
21062,69990
21063,1188
21064,78645
21065,1347
21066,1347
21067,1107
21068,73383
21069,69985
21070,57290
21072,69990
21074,1617
21075,57381
21077,1193
21084,67720
21085,80140
21086,89226
21087,57649
21096,56939
21097,2114
21099,90998
21100,56939
21101,89226
21102,74355
21105,53429
21106,56939
21108,2076
21109,53429
21110,90942
21113,53429
21115,2114
21116,2346
21117,2346
21119,2346
21120,87984
21121,2076
21123,80140
21124,86213
21125,80140
21126,2114
21127,56939
21128,2114
21129,57649
21130,74355
21132,57649
21133,87984
21134,57649
21135,88653
21136,57649
21138,53429
21139,80140
21140,53429
21141,87984
21142,88653
21143,2114
21144,2114
21145,80140
21146,89226
21147,88653
21148,89226
21149,80140
21150,86213
21151,86213
21153,57649
21155,86157
21156,2076
21159,88653
21164,87984
21165,2114
21166,57649
21167,86213
21168,56939
21170,86213
21171,2076
21172,56939
21173,86157
21174,2346
21176,90998
21177,86157
21178,57649
21179,86157
21180,90998
21181,90998
21182,53429
21184,80140
21185,87984
21186,2076
21187,0
21197,57649
21198,53429
21199,56939
21203,2346
21205,89226
21206,86213
21208,90998
21209,89226
21223,57381
21226,57381
21227,44206
21228,683
21229,395
21230,1107
21231,449
21232,78645
21233,1107
21234,72051
21235,72051
21236,69990
21237,71117
21238,1288
21239,69990
21240,1347
21241,1259
21244,1173
21249,80479
21322,69242
21324,805
21325,13828
21326,519
21327,35259
21328,78626
21329,805
21331,65877
21333,51797
21334,63756
21345,82070
21351,78645
21354,519
21357,85646
21378,48922
21384,1502
21398,805
21445,53429
21448,1288
21450,1014
21454,69242
21455,57290
21462,1585
21465,0
21477,48922
21480,13828
21488,63270
21490,519
