IDTURMA,IDPROFESSOR
20331,57309
20332,65341
20333,82085
20334,57070
20335,1182
20336,1489
20337,1291
20338,1084
20339,184
20340,57309
20341,65341
20342,1182
20343,1489
20344,1489
20345,68182
20346,70373
20347,70342
20348,1084
20349,63099
20350,57309
20351,51797
20352,58096
20353,46793
20354,849
20355,48266
20356,1291
20357,58096
20358,1084
20359,46793
20360,69990
20361,1412
20362,765
20363,57455
20364,1291
20365,82085
20366,75453
20367,90927
20368,1617
20369,65341
20370,70342
20371,57070
20372,48266
20373,1412
20378,82085
20379,57455
20380,1391
20381,686
20383,13699
20384,686
20385,69990
20386,57257
20387,13699
20388,75421
20389,68182
20392,63099
20393,58096
20394,51797
20395,184
20396,1347
20397,65341
20398,2048
20399,805
20400,1084
20401,1482
20402,46793
20403,1482
20404,67720
20405,1107
20406,57381
20407,1502
20408,743
20409,743
20410,1347
20411,395
20412,1585
20413,1489
20414,449
20415,1188
20416,67720
20417,519
20418,46494
20419,71117
20421,1347
20422,1617
20423,1585
20427,72051
20428,48922
20429,44206
20432,683
20433,1502
20434,690
20436,1259
20437,57381
20438,48922
20439,683
20440,69985
20441,690
20442,69242
20443,46494
20444,522
20445,522
20446,69242
20447,69242
20449,69995
20450,57455
20451,1012
20452,54448
20453,1585
20454,50588
20455,52945
20456,50588
20457,63756
20458,65161
20459,1585
20460,1161
20461,80479
20462,57290
20463,1412
20465,69990
20466,1012
20467,57257
20468,67720
20469,743
20471,1014
20472,71117
20473,1107
20475,805
20476,690
20481,1107
20482,35245
20484,75379
20485,69995
20486,54448
20487,1502
20488,1188
20489,728
20490,71117
20491,57381
20492,44206
20493,1014
20494,91896
20495,72051
20496,849
20497,69995
20499,88486
20501,71117
20503,1357
20504,765
20505,1167
20506,1294
20507,65877
20508,54448
20509,46793
20510,52945
20511,75379
20512,52945
20513,1291
20514,69995
20515,70342
20517,63270
20518,913
20519,1012
20520,54448
20521,63270
20522,913
20523,519
20524,70342
20525,1259
20527,68173
20528,57381
20530,91896
20531,182
20532,71117
20533,75421
20534,35245
20535,71117
20536,44206
20537,75958
20538,35259
20539,70342
20540,67720
20541,1014
20542,48922
20543,59008
20544,1014
20545,449
20546,1585
20547,69995
20549,913
20550,1161
20552,1502
20553,728
20554,1188
20555,85710
20556,1182
20557,849
20558,1399
20559,1391
20560,1116
20561,57070
20563,78631
20564,44206
20565,1167
20567,1457
20569,63756
20570,59008
20571,743
20572,68173
20573,728
20574,70342
20575,1347
20576,44206
20577,690
20578,91896
20579,75958
20580,449
20581,69990
20582,35259
20583,69985
20584,91896
20585,75379
20587,63756
20588,85646
20589,913
20590,46494
20591,1259
20592,57290
20593,69985
20594,70342
20595,1502
20596,67720
20597,69985
20599,1585
20600,75379
20601,1161
20602,226
20605,35245
20606,64727
20607,1585
20608,1223
20609,64727
20610,1482
20611,65877
20612,69995
20613,1457
20614,69995
20615,686
20616,69990
20617,1540
20618,1116
20619,85710
20620,1107
20621,1107
20622,75453
20624,75453
20625,686
20626,953
20628,953
20630,66626
20631,1543
20633,46494
20634,690
20635,68182
20636,54448
20637,75421
20638,1288
20639,1391
20640,85669
20641,57639
20642,1193
20643,62344
20645,52945
20646,52945
20647,1193
20648,58096
20650,953
20651,85669
20652,1391
20653,57639
20654,686
20655,1583
20656,70342
20659,1173
20661,75379
20662,75453
20663,913
20669,69985
20670,35259
20671,57639
20672,65877
20673,73235
20675,61726
20676,75453
20677,1540
20678,78631
20680,1543
20681,728
20684,743
20688,82080
20689,1161
20690,66626
20692,57257
20693,58543
20694,913
20695,1489
20696,1161
20697,184
20698,62344
20699,50588
20700,1173
20701,63756
20702,1182
20703,54448
20704,63756
20705,64727
20706,69242
20707,63756
20708,1054
20709,1161
20710,1161
20711,68173
20712,0
20713,75421
20714,52945
20715,73383
20716,70342
20717,58543
20719,52945
20720,46793
20721,1012
20722,46494
20723,184
20724,46793
20725,78631
20726,80479
20727,1347
20729,1412
20730,57972
20731,1014
20732,83288
20734,57455
20735,62344
20736,73383
20737,59008
20739,75379
20740,1543
20741,85710
20742,75379
20743,686
20744,395
20746,1457
20747,49332
20748,1357
20749,63756
20750,1012
20751,85710
20752,46494
20754,1259
20757,1012
20758,35245
20759,58096
20761,63099
20762,75453
20763,1084
20764,1617
20765,1482
20766,75453
20768,0
20769,449
20770,77145
20773,63270
20774,1300
20775,57070
20777,57070
20778,146
20779,1347
20781,1543
20782,1223
20784,146
20785,146
20786,1154
20789,690
20790,58543
20791,1583
20792,49332
20793,728
20794,48266
20795,44206
20796,78631
20797,69242
20798,75421
20799,2048
20800,13699
20802,13828
20803,1288
20804,1154
20805,13699
20806,1391
20807,522
20808,85687
20809,1347
20810,46793
20811,70342
20813,70373
