IDTURMA,IDPROFESSOR
20396,519
20399,1543
20404,57381
20405,57455
20406,805
20407,69990
20408,69990
20409,728
20410,805
20411,1502
20412,1012
20414,743
20415,1107
20416,46494
20417,449
20418,1188
20419,46494
20423,1585
20427,1259
20428,48922
20429,1014
20432,1107
20433,1502
20434,73383
20436,82080
20437,46494
20438,70342
20439,48922
20440,73383
20441,69985
20442,13828
20443,1502
20444,683
20445,44206
20446,73383
20447,73383
20449,46793
20450,52945
20451,1012
20452,1012
20453,70342
20454,54448
20455,54448
20456,50588
20457,63270
20458,63270
20459,46793
20460,913
20461,1585
20466,1161
20468,69990
20469,1259
20471,69985
20472,182
20473,67720
20475,78645
20476,1347
20481,1543
20482,226
20484,1161
20485,75379
20486,913
20487,743
20488,728
20489,1543
20490,57290
20491,71117
20492,59008
20493,182
20494,1502
20495,82080
20497,50588
20508,63270
20509,54448
20510,70342
20511,85646
20512,70342
20515,54448
20517,1161
20518,80479
20519,63756
20520,1585
20521,63756
20522,75379
20523,82080
20524,683
20525,46494
20527,57455
20528,35259
20530,1585
20531,743
20532,68173
20534,1161
20535,743
20536,1347
20537,59008
20538,35259
20539,71117
20540,67720
20541,69990
20542,449
20543,70342
20544,1585
20545,48922
20546,59008
20549,85646
20550,65161
20552,1543
20553,44206
20554,1188
20569,46793
20570,728
20571,91896
20572,743
20573,1288
20574,44206
20575,728
20576,1617
20577,1014
20578,70342
20579,69985
20580,75958
20581,69985
20582,743
20583,690
20584,35259
20587,65161
20588,80479
20589,63270
20590,1617
20591,44206
20592,1188
20593,690
20594,1014
20595,46494
20596,82080
20597,1014
20599,63756
20601,1012
20602,35245
20605,226
20606,50588
20607,50588
20609,75379
20630,913
20631,1617
20633,683
20634,71117
20636,913
20639,58096
20640,58096
20641,62344
20642,1391
20643,953
20645,57639
20646,686
20647,686
20648,1193
20650,52945
20651,85669
20652,57639
20653,953
20654,62344
20659,1173
20661,54448
20663,50588
20669,67720
20680,690
20681,68173
20684,44206
20688,1288
20689,54448
20690,69995
20693,78631
20694,50588
20696,75379
20698,58096
20699,66626
20700,1585
20701,64727
20703,75379
20704,75379
20705,1585
20707,66626
20709,1161
20710,0
20711,1347
20712,0
20714,52945
20715,46494
20716,70342
20717,58096
20719,50588
20721,913
20722,48922
20724,46793
20725,62344
20726,0
20731,73383
20734,1014
20736,73383
20737,91896
20740,519
20754,1543
20757,1012
20758,226
20759,1193
20769,449
20789,1617
20790,58543
20795,69985
20802,46494
20806,1391
20807,59008
20819,1259
20820,78631
20823,71117
20829,1259
20850,87001
20854,182
20859,63882
20860,63882
20861,82070
20862,82070
20863,63882
20876,1014
20877,83288
20884,82070
20888,65877
20889,1188
20892,72039
20902,82070
20905,46494
20909,65877
20910,182
20913,82080
20917,63882
20918,72051
20919,72039
20922,63882
20923,395
20933,69985
20935,82070
20939,82080
20941,87001
20943,728
20948,82070
20950,82070
20954,91896
20959,57972
20964,57972
20970,57972
20982,57972
20985,83288
20993,87001
20997,57972
20998,63882
20999,57972
21000,82070
21003,72039
21005,65877
21009,65877
21011,72039
21012,84328
21014,83288
21020,91896
21036,68173
21055,1502
21056,1585
21057,1107
21059,1107
21060,395
21061,78645
21062,57290
21063,72051
21064,68173
21065,48922
21066,46494
21067,683
21068,805
21069,690
21070,69990
21072,57290
21074,35259
21075,48922
21077,57639
21084,67720
21085,56939
21086,80140
21087,2346
21096,2076
21097,88653
21099,90998
21100,89226
21101,2076
21102,74355
21105,80140
21106,74355
21108,2076
21109,2076
21110,89226
21113,56939
21115,56939
21116,80140
21117,57649
21119,88653
21120,87984
21121,74355
21123,53429
21124,90998
21125,88653
21126,74355
21127,89226
21128,2114
21129,2114
21130,2114
21132,53429
21133,2114
21134,74355
21135,2346
21136,53429
21138,74355
21139,80140
21140,57649
21141,53429
21142,53429
21143,74355
21144,2114
21145,56939
21146,89226
21147,80140
21148,2346
21149,87984
21150,80140
21151,86157
21153,89226
21155,86157
21156,86213
21159,89226
21164,56939
21165,56939
21166,86213
21167,56939
21168,57649
21170,88653
21171,86157
21172,2346
21173,80140
21174,2076
21176,86213
21177,2076
21178,2346
21179,53429
21180,2076
21181,90998
21182,56939
21184,86157
21185,0
21186,86213
21187,0
21197,53429
21198,74355
21199,56939
21203,90998
21205,53429
21206,87984
21208,87984
21209,80140
21223,57290
21226,1259
21227,75958
21228,1107
21229,395
21230,1502
21231,519
21232,72051
21233,13828
21234,13828
21235,69242
21236,1502
21237,71117
21238,69990
21239,69990
21240,805
21241,728
21244,52945
21249,63270
21322,73383
21324,57455
21325,805
21326,78626
21327,805
21328,519
21329,35259
21331,57972
21333,57455
21334,226
21345,82070
21351,72051
21354,728
21357,75379
21378,1188
21384,1014
21398,1347
21445,2114
21448,75958
21450,1014
21454,1259
21455,1188
21462,57381
21465,65877
21477,59008
21480,395
21488,46793
21490,1585
