IDTURMA,IDPROFESSOR
20639,57639
20640,62344
20641,1391
20642,953
20643,57639
20645,1193
20646,58096
20647,58096
20648,85669
20650,1391
20651,953
20652,1193
20653,52945
20654,85669
20693,52945
20698,57639
20717,85669
20725,58543
20759,57639
20790,1193
20806,1391
20820,58096
20850,57972
20859,82070
20860,82070
20861,63882
20862,82070
20863,63882
20877,63882
20884,63882
20888,65877
20892,72039
20902,83288
20909,65877
20917,63882
20919,84328
20922,72039
20935,72039
20941,63882
20948,83288
20950,84328
20959,65877
20964,57972
20970,87001
20982,57972
20985,87001
20993,83288
20997,83288
20998,82070
20999,72039
21000,63882
21003,57972
21005,83288
21009,82070
21011,72039
21012,87001
21014,87001
21077,1193
21331,65877
21345,65877
21465,83288
